h,result
0,988
1,988
2,988
3,987
4,987
5,987
6,993
7,989
8,985
9,985
10,984
11,988
12,987
13,987
14,987
15,987
16,987
17,987
18,987
19,988
20,989
21,990
22,990
23,984
24,987
25,987
26,987
27,986
28,986
29,986
30,991
31,989
32,990
33,990
34,990
35,990
36,990
37,984
38,987
39,987
40,986
41,991
42,989
43,989
44,990
45,989
46,990
47,990
48,989
49,990
50,984
51,986
52,991
53,988
54,988
55,989
56,989
57,989
58,989
59,988
60,989
61,988
62,982
63,989
64,989
65,990
66,990
67,987
68,989
69,994
70,994
71,994
72,994
73,984
74,985
75,995
76,995
77,995
78,992
79,975
80,983
81,994
82,996
83,995
84,991
85,974
86,979
87,992
88,996
89,995
90,984
91,972
92,973
93,987
94,996
95,993
96,974
97,970
98,975
99,983
100,995
101,992
102,971
103,967
104,970
105,974
106,980
107,988
108,985
109,964
110,965
111,967
112,970
113,973
114,980
115,949
116,959
117,945
118,959
119,958
120,955
121,956
122,955
123,955
124,955
125,955
126,955
127,955
128,958
129,960
130,956
131,956
132,956
133,955
134,955
135,967
136,970
137,965
138,958
139,956
140,956
141,956
142,960
143,971
144,972
145,968
146,960
147,958
148,957
149,959
150,970
151,972
152,972
153,972
154,962
155,959
156,958
157,969
158,972
159,972
160,973
161,973
162,964
163,960
164,966
165,972
166,973
167,973
168,973
169,973
170,968
171,965
172,972
173,973
174,973
175,973
176,973
177,973
178,969
179,973
180,973
181,973
182,973
183,973
184,973
185,969
186,968
187,971
188,971
189,971
190,972
191,972
192,964
193,962
194,968
195,970
196,970
197,970
198,967
199,960
200,959
201,965
202,967
203,968
204,969
205,964
206,956
207,953
208,959
209,965
210,967
211,964
212,958
213,953
214,950
215,951
216,962
217,965
218,962
219,952
220,949
221,947
222,947
223,958
224,960
225,952
226,947
227,945
228,943
229,942
230,952
231,953
232,945
233,942
234,940
235,938
236,937
237,937
238,939
239,936
240,934
241,940
242,945
243,949
244,954
245,960
246,968
247,981
248,973
249,955
250,958
251,962
252,968
253,978
254,992
255,990
256,959
257,962
258,967
259,973
260,983
261,996
262,994
263,980
264,965
265,970
266,977
267,988
268,996
269,995
270,991
271,967
272,972
273,980
274,993
275,995
276,995
277,994
278,983
279,975
280,984
281,996
282,995
283,996
284,994
285,991
286,983
287,987
288,995
289,995
290,995
291,995
292,993
293,990
294,990
295,994
296,994
297,994
298,994
299,994
300,994
301,993
302,994
303,994
304,994
305,993
306,994
307,990
308,992
309,993
310,993
311,994
312,993
313,992
314,987
315,991
316,993
317,993
318,994
319,994
320,988
321,986
322,990
323,993
324,993
325,994
326,989
327,987
328,985
329,989
330,992
331,993
332,994
333,988
334,986
335,985
336,984
337,991
338,993
339,989
340,987
341,985
342,985
343,985
344,990
345,993
346,988
347,986
348,985
349,985
350,984
351,989
352,988
353,986
354,985
355,984
356,984
357,984
358,984
359,985
