h,result
0,994
1,993
2,993
3,993
4,993
5,993
6,992
7,992
8,992
9,992
10,992
11,992
12,992
13,992
14,991
15,994
16,994
17,994
18,989
19,992
20,991
21,991
22,991
23,991
24,991
25,991
26,992
27,993
28,994
29,994
30,994
31,994
32,988
33,991
34,990
35,990
36,990
37,996
38,993
39,993
40,993
41,993
42,993
43,993
44,993
45,992
46,990
47,989
48,995
49,992
50,992
51,992
52,992
53,992
54,992
55,992
56,992
57,992
58,992
59,995
60,992
61,992
62,992
63,992
64,989
65,992
66,992
67,992
68,992
69,991
70,978
71,986
72,992
73,992
74,992
75,989
76,965
77,980
78,992
79,992
80,992
81,985
82,961
83,975
84,993
85,993
86,991
87,971
88,958
89,971
90,991
91,994
92,992
93,959
94,963
95,971
96,985
97,995
98,988
99,956
100,960
101,967
102,976
103,991
104,990
105,955
106,952
107,957
108,962
109,967
110,983
111,982
112,950
113,947
114,947
115,929
116,934
117,942
118,898
119,885
120,875
121,868
122,877
123,896
124,877
125,928
126,915
127,904
128,903
129,904
130,891
131,894
132,904
133,944
134,923
135,907
136,886
137,888
138,899
139,902
140,944
141,949
142,947
143,910
144,908
145,904
146,905
147,939
148,949
149,951
150,948
151,926
152,916
153,908
154,935
155,949
156,951
157,953
158,952
159,930
160,916
161,915
162,949
163,953
164,955
165,955
166,954
167,941
168,925
169,950
170,953
171,956
172,956
173,956
174,957
175,952
176,952
177,956
178,956
179,957
180,959
181,958
182,957
183,954
184,954
185,955
186,956
187,955
188,955
189,950
190,953
191,953
192,953
193,953
194,954
195,955
196,950
197,947
198,951
199,952
200,952
201,953
202,948
203,948
204,946
205,947
206,950
207,951
208,951
209,947
210,944
211,943
212,947
213,947
214,948
215,945
216,944
217,943
218,942
219,941
220,944
221,947
222,944
223,942
224,940
225,939
226,939
227,941
228,944
229,940
230,939
231,938
232,937
233,937
234,941
235,939
236,937
237,936
238,936
239,936
240,935
241,946
242,955
243,966
244,964
245,951
246,955
247,959
248,964
249,972
250,984
251,989
252,957
253,960
254,965
255,970
256,979
257,992
258,994
259,977
260,963
261,968
262,974
263,984
264,996
265,996
266,991
267,967
268,970
269,977
270,987
271,997
272,996
273,995
274,985
275,972
276,980
277,991
278,997
279,997
280,996
281,993
282,981
283,982
284,990
285,996
286,996
287,996
288,995
289,991
290,984
291,996
292,996
293,996
294,995
295,995
296,995
297,992
298,995
299,995
300,995
301,995
302,995
303,994
304,992
305,994
306,995
307,994
308,995
309,995
310,995
311,989
312,992
313,994
314,994
315,995
316,994
317,990
318,988
319,991
320,994
321,994
322,994
323,992
324,989
325,987
326,991
327,994
328,994
329,994
330,990
331,987
332,986
333,990
334,993
335,995
336,992
337,988
338,987
339,986
340,985
341,993
342,994
343,990
344,987
345,986
346,986
347,986
348,991
349,990
350,987
351,987
352,986
353,986
354,986
355,992
356,987
357,986
358,986
359,986
