h,result
0,986
1,986
2,986
3,985
4,987
5,991
6,988
7,983
8,983
9,987
10,986
11,986
12,986
13,985
14,985
15,985
16,985
17,985
18,989
19,989
20,989
21,989
22,988
23,987
24,986
25,986
26,985
27,985
28,985
29,989
30,988
31,989
32,989
33,990
34,990
35,990
36,985
37,987
38,986
39,985
40,985
41,987
42,989
43,989
44,990
45,990
46,990
47,989
48,990
49,989
50,986
51,987
52,990
53,989
54,989
55,989
56,990
57,990
58,990
59,989
60,990
61,989
62,990
63,990
64,991
65,992
66,989
67,985
68,984
69,990
70,991
71,990
72,990
73,977
74,983
75,992
76,992
77,990
78,987
79,966
80,979
81,992
82,991
83,990
84,982
85,965
86,975
87,985
88,992
89,990
90,966
91,964
92,973
93,987
94,991
95,986
96,955
97,963
98,966
99,979
100,991
101,985
102,953
103,958
104,964
105,969
106,977
107,991
108,967
109,963
110,959
111,958
112,960
113,968
114,981
115,950
116,943
117,943
118,943
119,935
120,934
121,929
122,935
123,933
124,922
125,922
126,916
127,917
128,946
129,927
130,921
131,921
132,916
133,916
134,919
135,950
136,960
137,939
138,943
139,947
140,943
141,937
142,961
143,954
144,955
145,941
146,926
147,922
148,919
149,932
150,952
151,955
152,956
153,952
154,931
155,925
156,925
157,952
158,954
159,956
160,956
161,953
162,935
163,927
164,950
165,955
166,956
167,957
168,957
169,957
170,940
171,948
172,956
173,958
174,958
175,958
176,958
177,958
178,947
179,958
180,959
181,959
182,958
183,958
184,958
185,958
186,956
187,956
188,957
189,956
190,956
191,951
192,950
193,953
194,955
195,954
196,955
197,956
198,953
199,948
200,948
201,953
202,953
203,953
204,952
205,948
206,945
207,948
208,949
209,951
210,951
211,949
212,945
213,943
214,941
215,946
216,948
217,948
218,944
219,942
220,940
221,939
222,939
223,946
224,945
225,940
226,939
227,938
228,937
229,941
230,942
231,939
232,937
233,936
234,935
235,935
236,934
237,935
238,934
239,934
240,933
241,940
242,944
243,948
244,953
245,960
246,968
247,983
248,958
249,954
250,957
251,962
252,968
253,978
254,987
255,987
256,958
257,961
258,966
259,973
260,983
261,995
262,993
263,978
264,964
265,969
266,976
267,987
268,995
269,994
270,990
271,972
272,971
273,979
274,992
275,995
276,995
277,993
278,985
279,973
280,982
281,992
282,995
283,995
284,994
285,991
286,982
287,984
288,994
289,994
290,994
291,994
292,993
293,990
294,986
295,994
296,993
297,993
298,993
299,993
300,993
301,993
302,992
303,992
304,992
305,993
306,989
307,992
308,993
309,993
310,992
311,992
312,988
313,985
314,991
315,992
316,992
317,992
318,993
319,987
320,984
321,989
322,992
323,992
324,992
325,988
326,985
327,984
328,988
329,992
330,992
331,992
332,986
333,984
334,983
335,987
336,991
337,992
338,991
339,985
340,984
341,983
342,983
343,991
344,992
345,986
346,984
347,984
348,983
349,983
350,990
351,988
352,985
353,984
354,983
355,983
356,983
357,985
358,984
359,983
