h,result
0,987
1,987
2,987
3,987
4,987
5,987
6,987
7,987
8,987
9,987
10,987
11,987
12,987
13,990
14,992
15,994
16,990
17,991
18,989
19,988
20,988
21,988
22,987
23,987
24,990
25,991
26,993
27,994
28,994
29,995
30,991
31,990
32,989
33,987
34,987
35,990
36,991
37,993
38,994
39,994
40,994
41,994
42,994
43,992
44,993
45,989
46,989
47,990
48,993
49,993
50,994
51,994
52,994
53,994
54,994
55,994
56,994
57,992
58,991
59,992
60,993
61,994
62,994
63,994
64,992
65,992
66,991
67,991
68,991
69,990
70,979
71,985
72,991
73,991
74,991
75,988
76,979
77,985
78,995
79,995
80,994
81,990
82,975
83,982
84,992
85,995
86,994
87,985
88,973
89,979
90,990
91,995
92,993
93,975
94,971
95,977
96,986
97,995
98,991
99,955
100,966
101,973
102,979
103,990
104,993
105,970
106,965
107,967
108,970
109,975
110,984
111,987
112,961
113,962
114,963
115,965
116,968
117,971
118,960
119,956
120,954
121,954
122,954
123,937
124,956
125,958
126,956
127,953
128,955
129,955
130,955
131,959
132,970
133,961
134,957
135,956
136,956
137,956
138,959
139,970
140,971
141,964
142,958
143,957
144,957
145,957
146,969
147,971
148,972
149,968
150,960
151,958
152,957
153,967
154,971
155,972
156,972
157,968
158,962
159,959
160,962
161,971
162,972
163,972
164,973
165,972
166,963
167,943
168,963
169,966
170,971
171,965
172,968
173,973
174,970
175,971
176,972
177,973
178,966
179,966
180,962
181,963
182,962
183,963
184,964
185,964
186,964
187,966
188,958
189,954
190,960
191,962
192,963
193,959
194,961
195,955
196,956
197,956
198,959
199,958
200,960
201,960
202,950
203,947
204,950
205,955
206,956
207,956
208,951
209,947
210,945
211,947
212,949
213,951
214,948
215,945
216,943
217,941
218,939
219,943
220,946
221,943
222,941
223,940
224,939
225,938
226,941
227,944
228,940
229,938
230,937
231,936
232,936
233,940
234,938
235,936
236,935
237,935
238,934
239,934
240,934
241,944
242,952
243,964
244,967
245,950
246,953
247,957
248,962
249,970
250,982
251,988
252,955
253,958
254,963
255,969
256,977
257,990
258,993
259,979
260,961
261,966
262,972
263,981
264,992
265,995
266,991
267,970
268,968
269,975
270,984
271,996
272,995
273,994
274,987
275,970
276,977
277,988
278,995
279,995
280,994
281,991
282,979
283,980
284,988
285,995
286,995
287,994
288,993
289,989
290,983
291,995
292,994
293,994
294,994
295,994
296,993
297,990
298,994
299,994
300,993
301,993
302,993
303,993
304,993
305,993
306,993
307,993
308,993
309,993
310,988
311,990
312,992
313,993
314,993
315,993
316,992
317,986
318,989
319,992
320,992
321,993
322,993
323,989
324,985
325,984
326,991
327,993
328,993
329,992
330,986
331,985
332,984
333,989
334,992
335,993
336,989
337,985
338,984
339,984
340,988
341,992
342,992
343,986
344,985
345,984
346,984
347,988
348,992
349,987
350,985
351,984
352,984
353,984
354,987
355,990
356,985
357,984
358,983
359,983
