h,result
0,988
1,988
2,987
3,987
4,987
5,987
6,987
7,987
8,987
9,991
10,988
11,988
12,983
13,986
14,986
15,986
16,986
17,985
18,985
19,986
20,991
21,987
22,987
23,987
24,987
25,982
26,985
27,985
28,985
29,985
30,985
31,985
32,986
33,987
34,987
35,987
36,988
37,987
38,987
39,982
40,985
41,985
42,984
43,985
44,987
45,986
46,986
47,986
48,986
49,986
50,987
51,986
52,984
53,984
54,989
55,985
56,986
57,985
58,985
59,985
60,985
61,985
62,985
63,985
64,985
65,984
66,979
67,985
68,986
69,986
70,985
71,983
72,957
73,977
74,986
75,986
76,985
77,981
78,951
79,970
80,986
81,985
82,984
83,973
84,947
85,963
86,980
87,986
88,983
89,955
90,943
91,958
92,980
93,985
94,979
95,927
96,935
97,950
98,969
99,985
100,974
101,921
102,928
103,937
104,949
105,966
106,981
107,944
108,911
109,918
110,926
111,936
112,948
113,966
114,893
115,897
116,897
117,899
118,900
119,891
120,852
121,863
122,870
123,864
124,860
125,863
126,859
127,864
128,862
129,896
130,878
131,874
132,873
133,867
134,864
135,869
136,893
137,903
138,890
139,879
140,870
141,871
142,869
143,889
144,903
145,908
146,906
147,887
148,875
149,874
150,878
151,902
152,910
153,910
154,908
155,890
156,884
157,881
158,900
159,909
160,912
161,911
162,910
163,897
164,883
165,902
166,907
167,910
168,911
169,913
170,915
171,903
172,892
173,911
174,914
175,914
176,915
177,913
178,914
179,909
180,913
181,913
182,913
183,912
184,911
185,912
186,908
187,908
188,910
189,909
190,909
191,910
192,906
193,897
194,899
195,905
196,906
197,908
198,909
199,901
200,893
201,891
202,899
203,900
204,902
205,899
206,892
207,886
208,887
209,891
210,893
211,895
212,893
213,884
214,879
215,876
216,881
217,890
218,892
219,884
220,878
221,874
222,870
223,869
224,878
225,877
226,869
227,866
228,863
229,860
230,863
231,868
232,863
233,860
234,857
235,856
236,855
237,854
238,857
239,853
240,852
241,876
242,892
243,905
244,920
245,940
246,964
247,910
248,912
249,921
250,931
251,944
252,959
253,978
254,970
255,922
256,931
257,941
258,953
259,969
260,987
261,982
262,949
263,936
264,947
265,959
266,976
267,988
268,985
269,977
270,941
271,951
272,965
273,984
274,988
275,987
276,983
277,963
278,956
279,971
280,988
281,987
282,987
283,985
284,979
285,960
286,977
287,987
288,987
289,987
290,986
291,984
292,976
293,981
294,986
295,986
296,985
297,986
298,985
299,985
300,986
301,985
302,985
303,985
304,985
305,985
306,985
307,984
308,985
309,985
310,985
311,985
312,985
313,985
314,982
315,983
316,984
317,984
318,985
319,985
320,981
321,980
322,979
323,983
324,984
325,985
326,985
327,982
328,980
329,979
330,982
331,984
332,985
333,980
334,981
335,980
336,979
337,983
338,984
339,985
340,982
341,980
342,980
343,979
344,983
345,984
346,980
347,981
348,980
349,979
350,979
351,980
352,983
353,981
354,980
355,980
356,979
357,979
358,979
359,980
