h,result
0,983
1,982
2,982
3,982
4,981
5,982
6,981
7,981
8,981
9,982
10,981
11,981
12,981
13,981
14,986
15,983
16,984
17,978
18,981
19,981
20,981
21,981
22,980
23,980
24,980
25,985
26,982
27,983
28,983
29,983
30,983
31,978
32,981
33,980
34,980
35,980
36,983
37,982
38,982
39,983
40,983
41,983
42,982
43,982
44,983
45,977
46,980
47,981
48,982
49,982
50,982
51,982
52,982
53,982
54,982
55,982
56,982
57,983
58,977
59,982
60,982
61,982
62,982
63,980
64,977
65,983
66,983
67,982
68,981
69,971
70,976
71,984
72,983
73,983
74,980
75,959
76,972
77,986
78,986
79,985
80,977
81,950
82,964
83,984
84,984
85,981
86,965
87,941
88,957
89,979
90,983
91,980
92,943
93,937
94,952
95,971
96,983
97,976
98,927
99,935
100,946
101,959
102,980
103,977
104,922
105,923
106,929
107,938
108,953
109,969
110,966
111,914
112,919
113,924
114,928
115,936
116,946
117,909
118,902
119,899
120,880
121,888
122,881
123,889
124,891
125,905
126,894
127,893
128,894
129,890
130,894
131,893
132,904
133,912
134,901
135,896
136,894
137,896
138,899
139,896
140,910
141,908
142,891
143,877
144,874
145,874
146,874
147,902
148,908
149,906
150,907
151,881
152,877
153,877
154,900
155,906
156,907
157,912
158,908
159,890
160,879
161,888
162,905
163,911
164,912
165,911
166,912
167,896
168,888
169,907
170,913
171,912
172,912
173,914
174,913
175,907
176,907
177,914
178,914
179,914
180,915
181,915
182,912
183,910
184,913
185,911
186,910
187,912
188,912
189,909
190,903
191,907
192,910
193,909
194,909
195,911
196,900
197,895
198,897
199,902
200,904
201,904
202,900
203,893
204,886
205,889
206,895
207,898
208,900
209,893
210,885
211,882
212,881
213,889
214,894
215,890
216,885
217,878
218,876
219,873
220,882
221,886
222,884
223,876
224,871
225,868
226,866
227,870
228,880
229,871
230,867
231,863
232,861
233,859
234,861
235,865
236,858
237,855
238,854
239,853
240,852
241,889
242,920
243,894
244,897
245,907
246,918
247,930
248,945
249,968
250,965
251,915
252,923
253,932
254,944
255,959
256,982
257,979
258,929
259,930
260,940
261,952
262,968
263,984
264,984
265,972
266,936
267,945
268,958
269,975
270,987
271,986
272,981
273,956
274,949
275,962
276,980
277,987
278,986
279,984
280,978
281,953
282,966
283,980
284,986
285,986
286,985
287,982
288,972
289,972
290,985
291,985
292,985
293,984
294,984
295,982
296,981
297,984
298,984
299,984
300,984
301,984
302,984
303,983
304,979
305,983
306,983
307,983
308,983
309,983
310,983
311,980
312,981
313,983
314,984
315,983
316,983
317,981
318,978
319,979
320,983
321,983
322,983
323,980
324,979
325,978
326,982
327,982
328,983
329,983
330,980
331,978
332,978
333,982
334,983
335,983
336,979
337,979
338,978
339,978
340,977
341,982
342,983
343,980
344,978
345,978
346,978
347,978
348,982
349,979
350,979
351,978
352,978
353,978
354,977
355,977
356,979
357,978
358,978
359,978
