h,result
0,980
1,980
2,976
3,980
4,980
5,979
6,980
7,979
8,979
9,979
10,979
11,979
12,979
13,979
14,978
15,979
16,983
17,981
18,981
19,982
20,976
21,980
22,979
23,978
24,979
25,978
26,978
27,983
28,980
29,981
30,981
31,981
32,981
33,982
34,976
35,979
36,979
37,978
38,979
39,980
40,980
41,981
42,981
43,981
44,980
45,982
46,981
47,980
48,980
49,979
50,983
51,981
52,983
53,983
54,982
55,981
56,981
57,982
58,982
59,982
60,982
61,979
62,982
63,981
64,982
65,982
66,979
67,971
68,983
69,983
70,983
71,982
72,976
73,965
74,980
75,983
76,983
77,981
78,964
79,961
80,980
81,984
82,983
83,979
84,951
85,956
86,973
87,984
88,983
89,974
90,943
91,951
92,968
93,985
94,984
95,963
96,931
97,940
98,957
99,976
100,978
101,938
102,926
103,933
104,940
105,954
106,975
107,970
108,915
109,919
110,924
111,932
112,942
113,957
114,947
115,911
116,914
117,914
118,912
119,907
120,888
121,892
122,893
123,893
124,895
125,895
126,904
127,902
128,901
129,901
130,899
131,896
132,898
133,897
134,918
135,914
136,901
137,903
138,900
139,878
140,900
141,914
142,922
143,917
144,907
145,896
146,897
147,889
148,910
149,919
150,927
151,918
152,906
153,902
154,898
155,903
156,917
157,926
158,918
159,919
160,909
161,904
162,912
163,921
164,925
165,929
166,932
167,922
168,920
169,903
170,917
171,919
172,923
173,924
174,923
175,926
176,937
177,920
178,924
179,916
180,917
181,917
182,921
183,919
184,915
185,918
186,921
187,920
188,920
189,919
190,916
191,909
192,911
193,915
194,914
195,915
196,914
197,907
198,898
199,903
200,908
201,909
202,910
203,907
204,897
205,891
206,888
207,900
208,904
209,904
210,899
211,889
212,885
213,884
214,891
215,897
216,900
217,890
218,882
219,877
220,874
221,879
222,889
223,887
224,877
225,871
226,868
227,866
228,868
229,880
230,872
231,866
232,863
233,860
234,859
235,859
236,862
237,856
238,853
239,852
240,850
241,873
242,887
243,900
244,913
245,931
246,952
247,959
248,907
249,915
250,925
251,936
252,951
253,972
254,977
255,923
256,925
257,935
258,946
259,962
260,979
261,983
262,968
263,931
264,940
265,953
266,968
267,986
268,985
269,980
270,952
271,944
272,956
273,974
274,986
275,986
276,983
277,975
278,948
279,961
280,979
281,985
282,985
283,984
284,982
285,969
286,965
287,978
288,985
289,984
290,984
291,983
292,980
293,975
294,984
295,984
296,983
297,983
298,983
299,983
300,983
301,983
302,983
303,983
304,982
305,978
306,981
307,982
308,983
309,982
310,982
311,982
312,978
313,980
314,982
315,982
316,982
317,982
318,979
319,977
320,977
321,982
322,982
323,982
324,978
325,978
326,976
327,980
328,981
329,982
330,982
331,979
332,977
333,976
334,980
335,981
336,982
337,978
338,978
339,977
340,976
341,976
342,981
343,982
344,978
345,977
346,977
347,976
348,976
349,980
350,977
351,977
352,977
353,977
354,977
355,976
356,976
357,978
358,977
359,976
