h,result
0,981
1,981
2,980
3,980
4,980
5,981
6,985
7,982
8,978
9,977
10,977
11,980
12,980
13,980
14,980
15,979
16,979
17,979
18,979
19,980
20,982
21,982
22,983
23,977
24,980
25,980
26,979
27,979
28,979
29,979
30,984
31,981
32,982
33,982
34,982
35,982
36,982
37,976
38,979
39,979
40,979
41,984
42,981
43,982
44,982
45,981
46,982
47,982
48,982
49,982
50,977
51,979
52,983
53,981
54,981
55,981
56,981
57,981
58,981
59,981
60,981
61,975
62,981
63,981
64,981
65,981
66,977
67,974
68,982
69,982
70,982
71,980
72,969
73,966
74,982
75,982
76,981
77,978
78,952
79,963
80,980
81,983
82,982
83,975
84,942
85,956
86,976
87,983
88,982
89,967
90,944
91,956
92,973
93,984
94,981
95,945
96,940
97,951
98,965
99,984
100,977
101,935
102,934
103,937
104,948
105,963
106,976
107,965
108,925
109,931
110,938
111,943
112,958
113,971
114,921
115,915
116,919
117,911
118,916
119,913
120,904
121,905
122,900
123,908
124,894
125,922
126,891
127,882
128,908
129,897
130,897
131,896
132,896
133,896
134,883
135,906
136,908
137,897
138,890
139,890
140,889
141,892
142,907
143,919
144,917
145,917
146,900
147,896
148,905
149,909
150,915
151,926
152,923
153,918
154,905
155,896
156,901
157,921
158,926
159,930
160,941
161,938
162,931
163,928
164,937
165,919
166,922
167,919
168,941
169,942
170,934
171,934
172,923
173,924
174,925
175,928
176,931
177,927
178,923
179,921
180,927
181,928
182,927
183,927
184,926
185,925
186,920
187,922
188,925
189,924
190,924
191,920
192,923
193,927
194,933
195,935
196,936
197,936
198,928
199,915
200,898
201,908
202,912
203,915
204,915
205,907
206,907
207,904
208,906
209,903
210,911
211,906
212,893
213,885
214,881
215,888
216,895
217,898
218,890
219,882
220,877
221,873
222,874
223,887
224,889
225,878
226,872
227,868
228,866
229,863
230,877
231,873
232,867
233,862
234,860
235,858
236,856
237,864
238,856
239,854
240,851
241,874
242,889
243,902
244,916
245,935
246,958
247,931
248,910
249,918
250,928
251,940
252,956
253,979
254,972
255,920
256,928
257,938
258,950
259,966
260,984
261,981
262,956
263,934
264,943
265,956
266,973
267,986
268,984
269,977
270,943
271,948
272,961
273,979
274,986
275,985
276,982
277,969
278,952
279,965
280,979
281,986
282,985
283,984
284,980
285,961
286,970
287,985
288,985
289,985
290,984
291,983
292,978
293,974
294,984
295,984
296,984
297,984
298,983
299,983
300,983
301,983
302,983
303,983
304,983
305,983
306,979
307,983
308,982
309,983
310,983
311,983
312,983
313,979
314,982
315,982
316,983
317,983
318,983
319,978
320,978
321,981
322,982
323,982
324,982
325,983
326,979
327,977
328,977
329,981
330,983
331,983
332,979
333,978
334,977
335,977
336,979
337,982
338,983
339,979
340,978
341,977
342,977
343,981
344,982
345,981
346,978
347,977
348,977
349,977
350,981
351,980
352,979
353,978
354,977
355,977
356,977
357,981
358,978
359,978
