h,result
0,985
1,984
2,985
3,984
4,984
5,984
6,984
7,983
8,983
9,983
10,983
11,983
12,983
13,983
14,984
15,980
16,981
17,981
18,982
19,982
20,982
21,982
22,982
23,981
24,983
25,983
26,983
27,982
28,982
29,977
30,980
31,980
32,980
33,980
34,980
35,986
36,981
37,981
38,981
39,981
40,980
41,980
42,980
43,974
44,979
45,979
46,984
47,980
48,980
49,980
50,980
51,979
52,979
53,979
54,979
55,980
56,980
57,975
58,979
59,979
60,979
61,978
62,979
63,979
64,979
65,976
66,966
67,979
68,978
69,979
70,978
71,971
72,952
73,976
74,979
75,978
76,976
77,959
78,943
79,971
80,979
81,978
82,974
83,915
84,936
85,964
86,979
87,977
88,968
89,905
90,926
91,951
92,976
93,976
94,956
95,895
96,917
97,942
98,974
99,973
100,923
101,876
102,896
103,918
104,939
105,969
106,957
107,841
108,856
109,871
110,891
111,914
112,943
113,894
114,795
115,804
116,812
117,806
118,800
119,757
120,486
121,492
122,500
123,509
124,544
125,541
126,524
127,520
128,518
129,521
130,523
131,548
132,597
133,574
134,560
135,548
136,544
137,549
138,571
139,616
140,630
141,611
142,590
143,573
144,565
145,568
146,610
147,639
148,649
149,637
150,627
151,673
152,685
153,673
154,686
155,701
156,714
157,712
158,680
159,628
160,640
161,659
162,673
163,695
164,709
165,713
166,693
167,695
168,709
169,725
170,715
171,722
172,719
173,715
174,708
175,690
176,710
177,699
178,675
179,672
180,667
181,670
182,674
183,694
184,691
185,693
186,692
187,697
188,697
189,656
190,726
191,729
192,729
193,731
194,733
195,701
196,675
197,708
198,716
199,718
200,697
201,715
202,700
203,684
204,686
205,673
206,702
207,705
208,696
209,679
210,668
211,662
212,656
213,684
214,688
215,675
216,659
217,648
218,639
219,648
220,663
221,670
222,647
223,634
224,623
225,614
226,611
227,638
228,629
229,594
230,587
231,595
232,589
233,582
234,607
235,586
236,574
237,566
238,559
239,553
240,547
241,714
242,784
243,833
244,877
245,925
246,878
247,829
248,852
249,875
250,902
251,929
252,964
253,958
254,861
255,879
256,900
257,923
258,949
259,972
260,972
261,935
262,892
263,912
264,933
265,959
266,980
267,977
268,968
269,907
270,920
271,942
272,967
273,980
274,979
275,975
276,956
277,927
278,950
279,976
280,980
281,979
282,977
283,972
284,940
285,957
286,980
287,979
288,979
289,978
290,976
291,967
292,966
293,979
294,978
295,978
296,978
297,977
298,976
299,974
300,977
301,977
302,977
303,977
304,980
305,977
306,977
307,977
308,977
309,977
310,975
311,979
312,977
313,977
314,977
315,977
316,976
317,975
318,975
319,977
320,977
321,977
322,977
323,975
324,975
325,975
326,977
327,977
328,977
329,973
330,976
331,976
332,975
333,977
334,977
335,977
336,976
337,976
338,976
339,976
340,980
341,977
342,973
343,976
344,976
345,976
346,976
347,980
348,978
349,977
350,976
351,976
352,976
353,976
354,981
355,977
356,976
357,977
358,976
359,976
