h,result
0,978
1,979
2,978
3,975
4,978
5,978
6,978
7,977
8,978
9,977
10,977
11,977
12,977
13,976
14,977
15,977
16,976
17,977
18,978
19,978
20,978
21,974
22,977
23,976
24,976
25,976
26,976
27,976
28,980
29,977
30,978
31,977
32,977
33,977
34,976
35,975
36,975
37,975
38,975
39,980
40,976
41,976
42,976
43,976
44,976
45,976
46,975
47,975
48,971
49,973
50,975
51,975
52,975
53,975
54,974
55,975
56,974
57,974
58,975
59,974
60,974
61,974
62,973
63,964
64,974
65,975
66,975
67,974
68,969
69,953
70,975
71,975
72,975
73,973
74,961
75,944
76,969
77,975
78,974
79,970
80,936
81,936
82,964
83,976
84,975
85,967
86,911
87,929
88,955
89,977
90,974
91,958
92,899
93,922
94,947
95,970
96,972
97,936
98,894
99,913
100,937
101,962
102,971
103,940
104,872
105,886
106,903
107,921
108,946
109,963
110,847
111,852
112,861
113,874
114,885
115,900
116,930
117,791
118,752
119,716
120,632
121,617
122,592
123,585
124,564
125,573
126,578
127,629
128,616
129,607
130,630
131,626
132,641
133,696
134,717
135,673
136,652
137,643
138,628
139,634
140,622
141,656
142,679
143,736
144,697
145,671
146,709
147,706
148,710
149,680
150,676
151,706
152,703
153,648
154,641
155,639
156,694
157,741
158,744
159,747
160,746
161,729
162,677
163,732
164,715
165,692
166,700
167,711
168,712
169,699
170,689
171,710
172,708
173,721
174,751
175,753
176,753
177,744
178,751
179,751
180,754
181,752
182,751
183,751
184,746
185,740
186,742
187,741
188,741
189,741
190,740
191,716
192,722
193,689
194,707
195,728
196,730
197,725
198,704
199,665
200,708
201,712
202,715
203,714
204,702
205,686
206,671
207,687
208,665
209,650
210,647
211,631
212,623
213,615
214,617
215,633
216,682
217,631
218,626
219,642
220,632
221,625
222,651
223,661
224,638
225,624
226,615
227,607
228,602
229,618
230,618
231,603
232,592
233,581
234,575
235,570
236,583
237,568
238,558
239,550
240,540
241,764
242,864
243,766
244,798
245,831
246,859
247,891
248,923
249,957
250,884
251,852
252,872
253,896
254,921
255,949
256,973
257,955
258,872
259,891
260,913
261,935
262,962
263,977
264,971
265,931
266,902
267,922
268,945
269,972
270,979
271,975
272,965
273,911
274,929
275,952
276,972
277,979
278,977
279,973
280,953
281,937
282,961
283,978
284,978
285,977
286,975
287,969
288,950
289,969
290,977
291,977
292,976
293,976
294,974
295,968
296,970
297,976
298,975
299,975
300,975
301,975
302,975
303,975
304,975
305,974
306,978
307,975
308,975
309,974
310,975
311,975
312,973
313,977
314,975
315,975
316,975
317,975
318,972
319,973
320,973
321,975
322,975
323,975
324,975
325,973
326,973
327,973
328,975
329,975
330,975
331,971
332,974
333,973
334,974
335,978
336,975
337,975
338,974
339,974
340,974
341,974
342,978
343,976
344,972
345,974
346,974
347,974
348,974
349,975
350,976
351,975
352,975
353,974
354,974
355,975
356,975
357,975
358,975
359,975
