h,result
0,978
1,978
2,978
3,977
4,977
5,977
6,977
7,977
8,977
9,977
10,979
11,978
12,978
13,974
14,977
15,976
16,976
17,976
18,976
19,976
20,976
21,980
22,978
23,978
24,977
25,977
26,976
27,975
28,975
29,975
30,975
31,975
32,975
33,977
34,976
35,976
36,976
37,975
38,976
39,976
40,971
41,974
42,974
43,974
44,975
45,975
46,975
47,975
48,975
49,975
50,975
51,975
52,975
53,974
54,973
55,977
56,974
57,974
58,974
59,974
60,974
61,975
62,975
63,975
64,974
65,973
66,955
67,974
68,974
69,975
70,973
71,968
72,942
73,968
74,974
75,974
76,973
77,959
78,934
79,962
80,975
81,974
82,970
83,939
84,928
85,954
86,976
87,974
88,967
89,903
90,917
91,944
92,969
93,973
94,956
95,887
96,907
97,932
98,964
99,971
100,939
101,872
102,888
103,908
104,930
105,959
106,961
107,846
108,855
109,869
110,887
111,907
112,930
113,934
114,804
115,812
116,818
117,814
118,809
119,777
120,624
121,625
122,640
123,639
124,642
125,642
126,635
127,633
128,654
129,650
130,681
131,659
132,571
133,567
134,558
135,557
136,561
137,607
138,631
139,612
140,586
141,584
142,573
143,570
144,605
145,639
146,653
147,638
148,614
149,601
150,596
151,619
152,642
153,653
154,659
155,663
156,625
157,611
158,605
159,646
160,661
161,671
162,671
163,676
164,659
165,657
166,672
167,688
168,697
169,703
170,702
171,708
172,691
173,698
174,713
175,712
176,729
177,715
178,737
179,746
180,695
181,695
182,692
183,695
184,697
185,699
186,697
187,690
188,689
189,690
190,689
191,688
192,687
193,685
194,674
195,675
196,678
197,679
198,678
199,676
200,667
201,658
202,660
203,661
204,661
205,665
206,666
207,645
208,639
209,631
210,641
211,647
212,650
213,641
214,628
215,614
216,613
217,618
218,625
219,629
220,616
221,605
222,600
223,592
224,594
225,606
226,602
227,592
228,586
229,580
230,573
231,570
232,584
233,573
234,565
235,561
236,557
237,553
238,550
239,549
240,542
241,704
242,771
243,820
244,863
245,907
246,936
247,819
248,843
249,866
250,891
251,918
252,949
253,965
254,891
255,870
256,890
257,912
258,937
259,967
260,973
261,953
262,885
263,904
264,926
265,950
266,972
267,976
268,970
269,927
270,913
271,934
272,959
273,979
274,977
275,974
276,962
277,920
278,942
279,967
280,978
281,978
282,976
283,972
284,949
285,949
286,971
287,977
288,977
289,977
290,975
291,969
292,959
293,976
294,976
295,976
296,975
297,975
298,974
299,973
300,975
301,975
302,975
303,975
304,975
305,974
306,974
307,974
308,970
309,977
310,975
311,975
312,974
313,974
314,970
315,972
316,977
317,974
318,975
319,975
320,975
321,972
322,973
323,977
324,975
325,975
326,974
327,970
328,973
329,973
330,973
331,975
332,975
333,975
334,973
335,973
336,973
337,973
338,975
339,976
340,976
341,974
342,973
343,973
344,974
345,978
346,976
347,974
348,974
349,974
350,974
351,974
352,978
353,972
354,974
355,974
356,974
357,974
358,974
359,976
