h,result
0,980
1,980
2,979
3,979
4,982
5,983
6,980
7,976
8,976
9,978
10,978
11,979
12,978
13,978
14,978
15,978
16,978
17,978
18,981
19,979
20,979
21,979
22,976
23,978
24,977
25,977
26,977
27,977
28,977
29,981
30,979
31,979
32,978
33,978
34,978
35,978
36,974
37,976
38,976
39,976
40,977
41,978
42,977
43,977
44,977
45,977
46,976
47,976
48,976
49,976
50,971
51,974
52,980
53,976
54,976
55,975
56,975
57,975
58,975
59,975
60,975
61,975
62,974
63,971
64,975
65,976
66,976
67,975
68,971
69,958
70,978
71,977
72,977
73,975
74,963
75,949
76,971
77,977
78,977
79,972
80,932
81,942
82,969
83,977
84,976
85,969
86,915
87,933
88,959
89,978
90,975
91,958
92,906
93,925
94,949
95,976
96,973
97,937
98,896
99,915
100,939
101,965
102,971
103,940
104,874
105,887
106,906
107,924
108,947
109,964
110,849
111,848
112,854
113,871
114,890
115,902
116,927
117,794
118,783
119,760
120,686
121,689
122,690
123,657
124,689
125,691
126,691
127,626
128,718
129,704
130,697
131,698
132,697
133,693
134,696
135,722
136,657
137,700
138,707
139,704
140,605
141,631
142,722
143,733
144,736
145,726
146,715
147,709
148,620
149,717
150,734
151,740
152,744
153,738
154,719
155,713
156,713
157,734
158,742
159,746
160,746
161,746
162,728
163,720
164,737
165,745
166,747
167,749
168,751
169,752
170,736
171,739
172,747
173,751
174,751
175,680
176,694
177,754
178,748
179,753
180,755
181,752
182,696
183,751
184,750
185,738
186,739
187,741
188,740
189,741
190,741
191,738
192,719
193,719
194,727
195,728
196,728
197,679
198,676
199,646
200,637
201,641
202,646
203,656
204,672
205,666
206,648
207,634
208,641
209,647
210,642
211,641
212,626
213,619
214,607
215,612
216,618
217,615
218,608
219,604
220,597
221,590
222,590
223,597
224,598
225,588
226,581
227,578
228,573
229,569
230,578
231,574
232,567
233,564
234,560
235,559
236,556
237,557
238,552
239,548
240,545
241,766
242,866
243,768
244,800
245,833
246,861
247,892
248,925
249,958
250,876
251,854
252,874
253,898
254,923
255,952
256,973
257,953
258,874
259,893
260,915
261,939
262,966
263,977
264,970
265,926
266,903
267,924
268,948
269,976
270,979
271,975
272,963
273,912
274,932
275,957
276,979
277,979
278,977
279,972
280,945
281,940
282,965
283,979
284,978
285,978
286,975
287,969
288,947
289,972
290,978
291,977
292,977
293,976
294,975
295,969
296,970
297,976
298,976
299,976
300,976
301,976
302,976
303,975
304,975
305,975
306,971
307,975
308,975
309,976
310,976
311,975
312,975
313,974
314,975
315,976
316,975
317,976
318,976
319,974
320,974
321,978
322,976
323,976
324,976
325,976
326,974
327,974
328,975
329,976
330,976
331,976
332,974
333,974
334,974
335,974
336,976
337,977
338,976
339,975
340,975
341,974
342,975
343,976
344,977
345,975
346,975
347,975
348,975
349,975
350,979
351,973
352,975
353,975
354,975
355,975
356,976
357,980
358,976
359,976
