h,result
0,979
1,979
2,979
3,978
4,978
5,978
6,978
7,978
8,978
9,978
10,978
11,978
12,978
13,978
14,979
15,980
16,981
17,976
18,979
19,978
20,978
21,978
22,977
23,977
24,977
25,978
26,980
27,981
28,981
29,980
30,980
31,979
32,978
33,977
34,977
35,977
36,981
37,979
38,980
39,980
40,980
41,980
42,980
43,980
44,976
45,978
46,977
47,981
48,979
49,979
50,980
51,980
52,980
53,980
54,980
55,980
56,980
57,980
58,975
59,980
60,980
61,981
62,980
63,981
64,981
65,978
66,972
67,981
68,981
69,981
70,980
71,974
72,966
73,981
74,982
75,981
76,979
77,962
78,961
79,975
80,982
81,981
82,976
83,943
84,955
85,974
86,983
87,980
88,971
89,938
90,950
91,967
92,983
93,980
94,958
95,934
96,946
97,960
98,976
99,977
100,932
101,928
102,938
103,947
104,960
105,976
106,961
107,920
108,925
109,928
110,938
111,950
112,967
113,911
114,907
115,910
116,913
117,906
118,911
119,906
120,876
121,881
122,880
123,877
124,883
125,896
126,881
127,878
128,882
129,877
130,880
131,880
132,900
133,901
134,889
135,882
136,883
137,887
138,873
139,889
140,902
141,902
142,894
143,891
144,881
145,884
146,887
147,905
148,906
149,907
150,902
151,892
152,877
153,891
154,909
155,912
156,913
157,910
158,911
159,892
160,892
161,900
162,904
163,911
164,912
165,912
166,908
167,894
168,891
169,907
170,906
171,911
172,920
173,901
174,898
175,888
176,899
177,902
178,901
179,902
180,903
181,903
182,899
183,897
184,898
185,898
186,898
187,902
188,904
189,900
190,895
191,904
192,906
193,906
194,908
195,902
196,888
197,883
198,892
199,896
200,897
201,900
202,892
203,881
204,877
205,887
206,894
207,896
208,896
209,883
210,877
211,870
212,877
213,889
214,896
215,881
216,869
217,861
218,856
219,859
220,878
221,884
222,858
223,852
224,846
225,844
226,844
227,856
228,861
229,846
230,840
231,837
232,835
233,832
234,840
235,837
236,830
237,827
238,824
239,822
240,820
241,855
242,876
243,896
244,918
245,946
246,906
247,893
248,903
249,916
250,930
251,948
252,972
253,966
254,907
255,916
256,928
257,942
258,960
259,976
260,977
261,949
262,924
263,935
264,950
265,968
266,984
267,981
268,973
269,934
270,940
271,954
272,974
273,984
274,983
275,979
276,963
277,945
278,960
279,977
280,983
281,982
282,981
283,976
284,955
285,966
286,983
287,982
288,982
289,981
290,980
291,972
292,972
293,982
294,981
295,981
296,981
297,980
298,979
299,982
300,980
301,980
302,980
303,980
304,975
305,979
306,980
307,980
308,980
309,980
310,980
311,976
312,979
313,979
314,980
315,980
316,980
317,977
318,975
319,978
320,979
321,980
322,980
323,976
324,975
325,975
326,975
327,979
328,980
329,980
330,977
331,975
332,974
333,979
334,979
335,980
336,976
337,976
338,975
339,975
340,975
341,979
342,980
343,977
344,976
345,975
346,975
347,975
348,979
349,978
350,976
351,975
352,975
353,975
354,975
355,976
356,976
357,975
358,975
359,975
