h,result
0,987
1,987
2,987
3,986
4,986
5,986
6,986
7,991
8,988
9,988
10,984
11,985
12,986
13,985
14,985
15,985
16,985
17,985
18,985
19,989
20,986
21,986
22,986
23,986
24,981
25,984
26,984
27,984
28,984
29,984
30,987
31,986
32,986
33,986
34,986
35,986
36,986
37,984
38,984
39,983
40,983
41,983
42,984
43,985
44,985
45,985
46,985
47,985
48,985
49,985
50,985
51,980
52,982
53,988
54,984
55,984
56,984
57,984
58,984
59,984
60,984
61,984
62,984
63,982
64,984
65,984
66,984
67,984
68,982
69,965
70,981
71,985
72,984
73,983
74,979
75,953
76,974
77,985
78,985
79,983
80,973
81,949
82,967
83,985
84,984
85,982
86,959
87,943
88,960
89,978
90,983
91,977
92,927
93,936
94,953
95,977
96,983
97,971
98,920
99,931
100,946
101,964
102,982
103,971
104,912
105,918
106,927
107,938
108,954
109,972
110,938
111,901
112,906
113,911
114,918
115,928
116,944
117,877
118,872
119,871
120,852
121,859
122,858
123,858
124,861
125,869
126,866
127,872
128,880
129,896
130,884
131,889
132,881
133,867
134,869
135,881
136,882
137,886
138,873
139,864
140,847
141,852
142,847
143,876
144,887
145,887
146,878
147,862
148,856
149,855
150,871
151,885
152,888
153,891
154,887
155,866
156,859
157,860
158,887
159,891
160,892
161,895
162,896
163,876
164,873
165,889
166,898
167,899
168,898
169,901
170,900
171,888
172,899
173,907
174,901
175,903
176,905
177,910
178,913
179,908
180,912
181,907
182,906
183,909
184,907
185,896
186,891
187,895
188,894
189,892
190,894
191,895
192,890
193,884
194,887
195,889
196,888
197,891
198,889
199,880
200,873
201,873
202,883
203,882
204,885
205,881
206,872
207,864
208,863
209,871
210,875
211,881
212,869
213,862
214,858
215,855
216,864
217,869
218,870
219,861
220,853
221,849
222,845
223,850
224,860
225,856
226,848
227,843
228,840
229,837
230,838
231,848
232,840
233,835
234,832
235,830
236,827
237,829
238,829
239,824
240,822
241,873
242,911
243,877
244,883
245,896
246,909
247,924
248,942
249,967
250,957
251,905
252,915
253,926
254,940
255,958
256,977
257,976
258,921
259,924
260,936
261,950
262,969
263,985
264,982
265,966
266,930
267,942
268,957
269,975
270,986
271,984
272,979
273,944
274,947
275,961
276,982
277,986
278,985
279,983
280,974
281,951
282,968
283,985
284,985
285,985
286,984
287,981
288,962
289,974
290,985
291,985
292,984
293,984
294,983
295,980
296,978
297,984
298,984
299,983
300,983
301,986
302,983
303,983
304,983
305,983
306,983
307,979
308,983
309,982
310,983
311,983
312,983
313,983
314,979
315,983
316,982
317,982
318,983
319,983
320,978
321,978
322,982
323,982
324,983
325,982
326,983
327,980
328,978
329,978
330,981
331,982
332,983
333,978
334,979
335,978
336,978
337,979
338,982
339,982
340,980
341,979
342,978
343,978
344,982
345,982
346,981
347,979
348,978
349,978
350,978
351,979
352,978
353,979
354,979
355,978
356,978
357,978
358,979
359,979
