h,result
0,979
1,978
2,978
3,978
4,978
5,982
6,983
7,980
8,976
9,975
10,975
11,978
12,978
13,977
14,977
15,977
16,977
17,977
18,976
19,978
20,979
21,980
22,980
23,976
24,978
25,977
26,977
27,976
28,977
29,976
30,981
31,979
32,979
33,980
34,980
35,980
36,979
37,975
38,977
39,976
40,976
41,981
42,979
43,980
44,979
45,979
46,979
47,979
48,980
49,980
50,976
51,977
52,981
53,978
54,979
55,980
56,979
57,979
58,979
59,979
60,978
61,979
62,978
63,975
64,979
65,979
66,979
67,979
68,976
69,966
70,981
71,981
72,980
73,980
74,972
75,961
76,976
77,982
78,981
79,979
80,951
81,956
82,975
83,981
84,981
85,977
86,943
87,953
88,965
89,981
90,978
91,965
92,927
93,941
94,959
95,980
96,977
97,946
98,923
99,935
100,951
101,972
102,976
103,948
104,916
105,922
106,931
107,944
108,962
109,971
110,911
111,916
112,916
113,922
114,930
115,941
116,946
117,899
118,898
119,892
120,881
121,884
122,884
123,884
124,887
125,885
126,885
127,888
128,899
129,891
130,890
131,888
132,887
133,887
134,890
135,903
136,910
137,904
138,895
139,884
140,891
141,890
142,897
143,910
144,913
145,904
146,887
147,888
148,889
149,894
150,902
151,908
152,912
153,912
154,896
155,895
156,891
157,904
158,910
159,911
160,910
161,914
162,901
163,896
164,898
165,911
166,913
167,912
168,913
169,911
170,905
171,903
172,911
173,913
174,914
175,915
176,911
177,915
178,911
179,913
180,918
181,910
182,918
183,914
184,914
185,912
186,898
187,901
188,902
189,905
190,906
191,905
192,897
193,891
194,898
195,900
196,903
197,902
198,899
199,887
200,883
201,888
202,895
203,895
204,898
205,890
206,878
207,869
208,874
209,886
210,886
211,888
212,875
213,866
214,860
215,859
216,872
217,876
218,873
219,860
220,854
221,850
222,847
223,862
224,866
225,854
226,847
227,843
228,840
229,837
230,844
231,852
232,840
233,835
234,831
235,829
236,826
237,828
238,826
239,823
240,820
241,874
242,920
243,871
244,883
245,897
246,911
247,927
248,948
249,968
250,903
251,906
252,916
253,930
254,945
255,967
256,978
257,956
258,916
259,926
260,940
261,956
262,977
263,981
264,974
265,928
266,932
267,945
268,962
269,977
270,983
271,980
272,966
273,937
274,951
275,969
276,983
277,982
278,981
279,976
280,942
281,956
282,975
283,983
284,982
285,981
286,979
287,971
288,961
289,976
290,982
291,982
292,981
293,980
294,978
295,970
296,981
297,981
298,980
299,980
300,980
301,979
302,980
303,980
304,980
305,980
306,980
307,978
308,978
309,979
310,979
311,979
312,979
313,976
314,975
315,977
316,979
317,979
318,979
319,979
320,976
321,975
322,979
323,979
324,979
325,979
326,975
327,975
328,975
329,978
330,978
331,979
332,980
333,977
334,975
335,974
336,974
337,978
338,979
339,976
340,975
341,974
342,974
343,974
344,977
345,979
346,976
347,975
348,975
349,975
350,974
351,979
352,975
353,976
354,975
355,975
356,975
357,975
358,976
359,975
