h,averageIndividualDifference,averageIndividualDifferencePts,totalSpread,totalSpreadPts,spreadDifference,spreadDifferencePts
132,42.000,0.000,37.600,0.736,18.600,9.070
131,39.600,0.000,38.000,0.744,18.800,9.060
112,37.200,0.000,35.400,0.693,18.200,9.090
104,38.600,0.000,40.600,0.795,20.400,8.980
254,34.600,0.114,57.200,1.119,29.200,8.540
114,36.400,0.000,47.200,0.924,24.400,8.780
252,35.000,0.000,44.600,0.873,24.000,8.800
98,41.000,0.000,34.600,0.677,22.600,8.870
118,38.200,0.000,41.200,0.806,28.400,8.580
105,38.000,0.000,30.400,0.595,24.200,8.790
111,36.200,0.000,45.400,0.888,30.800,8.460
