h,difference,average,average3,amount
0,8,981.200,982.000,5
1,9,980.800,981.333,5
2,9,980.800,981.333,5
3,8,980.400,981.000,5
4,8,980.400,981.000,5
5,8,981.000,982.333,5
6,8,982.200,984.333,5
7,13,982.000,984.000,5
8,12,979.600,980.000,5
9,13,979.400,979.667,5
10,9,978.600,978.333,5
11,7,980.000,980.667,5
12,8,980.200,981.000,5
13,8,979.600,980.333,5
14,8,980.800,980.000,5
15,8,980.400,980.000,5
16,8,980.600,980.000,5
17,9,978.600,980.000,5
18,9,979.600,979.667,5
19,11,980.800,982.000,5
20,8,980.600,981.667,5
21,8,980.800,982.333,5
22,9,980.800,982.333,5
23,10,978.800,979.333,5
24,4,978.800,979.333,5
25,7,980.400,980.000,5
26,7,980.200,979.667,5
27,8,980.200,979.333,5
28,7,980.400,979.667,5
29,8,979.800,979.000,5
30,7,982.600,983.667,5
31,9,980.200,981.667,5
32,8,980.800,982.000,5
33,9,980.800,982.333,5
34,9,980.400,982.000,5
35,9,980.600,982.333,5
36,7,982.000,982.000,5
37,9,978.800,978.000,5
38,7,980.000,979.667,5
39,7,979.600,979.000,5
40,7,979.400,978.667,5
41,3,981.600,982.000,5
42,5,981.000,981.000,5
43,5,981.200,981.667,5
44,9,980.200,981.333,5
45,9,979.800,981.667,5
46,8,980.200,981.667,5
47,6,981.000,981.667,5
48,6,980.800,981.667,5
49,6,981.000,981.667,5
50,9,979.600,979.000,5
51,4,979.200,978.333,5
52,2,981.200,981.667,5
53,10,981.200,981.667,5
54,5,980.600,980.667,5
55,4,981.000,981.333,5
56,5,980.800,981.000,5
57,5,980.800,981.000,5
58,9,978.800,981.000,5
59,5,980.800,981.000,5
60,6,980.400,980.667,5
61,5,981.000,981.000,5
62,6,980.400,980.333,5
63,7,979.000,977.667,5
64,5,981.200,981.000,5
65,6,980.200,981.000,5
66,12,977.600,981.000,5
67,5,981.200,981.000,5
68,7,980.000,978.667,5
69,17,972.000,965.667,5
70,5,979.600,979.333,5
71,11,979.400,982.000,5
72,23,974.400,981.667,5
73,7,980.000,981.000,5
74,12,978.800,976.000,5
75,29,966.200,956.000,5
76,8,977.200,975.000,5
77,23,976.200,982.667,5
78,26,973.600,982.667,5
79,8,978.800,980.667,5
80,32,971.000,963.333,5
81,34,964.600,953.000,5
82,11,973.400,971.000,5
83,42,968.200,983.000,5
84,36,970.200,982.667,5
85,16,975.800,979.667,5
86,40,963.200,950.333,5
87,38,961.000,948.000,5
88,15,967.200,963.333,5
89,49,963.200,981.000,5
90,39,967.600,981.333,5
91,15,969.400,972.667,5
92,56,952.200,933.333,5
93,49,957.800,941.333,5
94,22,961.200,957.667,5
95,47,963.600,979.333,5
96,37,968.200,980.667,5
97,25,962.000,962.000,5
98,62,946.200,924.333,5
99,50,952.800,935.333,5
100,27,948.200,950.000,5
101,44,954.800,968.333,5
102,44,965.000,980.000,5
103,24,957.800,962.667,5
104,52,935.600,918.000,5
105,63,945.800,924.000,5
106,49,947.000,932.667,5
107,33,933.000,943.333,5
108,37,947.800,958.667,5
109,44,955.000,971.333,5
110,36,934.600,929.333,5
111,54,928.600,912.667,5
112,62,934.800,913.000,5
113,43,924.000,918.333,5
114,26,923.200,927.000,5
115,31,929.400,936.000,5
116,42,931.400,946.000,5
117,39,899.400,891.667,5
118,59,903.000,891.000,5
119,41,896.200,887.667,5
120,60,886.400,881.667,5
121,36,881.000,879.333,5
122,54,883.600,875.333,5
123,54,884.800,878.333,5
124,52,890.800,886.000,5
125,50,896.200,888.667,5
126,49,884.800,876.000,5
127,42,886.200,879.667,5
128,19,891.200,891.667,5
129,37,893.200,891.667,5
130,33,891.000,887.333,5
131,33,892.200,889.333,5
132,40,896.000,886.333,5
133,43,890.600,880.667,5
134,38,889.400,888.667,5
135,42,896.000,902.333,5
136,28,895.000,899.667,5
137,21,891.800,896.333,5
138,22,882.400,886.667,5
139,26,882.600,879.333,5
140,59,887.400,876.333,5
141,63,890.200,878.000,5
142,57,887.000,879.000,5
143,35,894.000,899.000,5
144,32,894.800,903.333,5
145,28,894.600,901.000,5
146,17,888.000,886.667,5
147,46,891.800,882.000,5
148,55,890.600,878.667,5
149,53,893.000,883.333,5
150,33,895.200,892.333,5
151,26,897.800,901.333,5
152,37,896.200,904.667,5
153,22,900.600,905.333,5
154,22,899.800,895.000,5
155,46,897.000,887.000,5
156,54,891.800,882.000,5
157,50,896.200,890.667,5
158,26,903.600,903.333,5
159,51,900.600,910.667,5
160,39,895.400,904.333,5
161,36,900.200,907.667,5
162,28,903.800,906.667,5
163,43,900.000,897.000,5
164,49,901.400,897.667,5
165,24,905.400,904.333,5
166,24,910.800,908.000,5
167,29,908.400,908.333,5
168,25,904.400,909.000,5
169,14,908.600,909.000,5
170,13,907.000,906.000,5
171,31,905.800,899.667,5
172,21,909.000,906.333,5
173,12,906.600,909.667,5
174,16,906.400,909.333,5
175,27,905.600,911.000,5
176,15,907.000,910.000,5
177,13,910.600,913.000,5
178,14,909.600,913.000,5
179,18,911.600,912.000,5
180,20,914.400,915.333,5
181,16,910.600,910.333,5
182,19,910.600,912.667,5
183,19,908.600,913.000,5
184,19,907.800,912.667,5
185,16,902.400,905.667,5
186,15,898.200,898.333,5
187,12,900.200,901.000,5
188,15,901.400,901.667,5
189,18,900.400,902.333,5
190,25,898.800,904.000,5
191,16,900.400,902.333,5
192,16,897.200,895.333,5
193,22,893.800,888.667,5
194,21,897.800,895.000,5
195,17,899.000,898.333,5
196,18,892.400,896.333,5
197,23,891.400,898.333,5
198,17,892.600,896.000,5
199,16,887.200,884.000,5
200,24,884.200,878.333,5
201,27,887.600,883.000,5
202,12,889.800,890.333,5
203,21,885.800,891.000,5
204,34,885.600,894.667,5
205,18,884.000,887.000,5
206,22,880.800,877.333,5
207,32,876.200,868.000,5
208,33,877.800,870.333,5
209,17,880.400,881.667,5
210,19,878.000,882.000,5
211,27,877.600,885.667,5
212,17,871.200,873.000,5
213,27,870.200,864.000,5
214,38,869.600,859.000,5
215,26,866.800,857.667,5
216,8,868.200,868.667,5
217,19,867.600,873.333,5
218,23,865.200,872.667,5
219,14,857.600,860.667,5
220,25,859.000,853.667,5
221,35,859.600,849.667,5
222,19,852.000,846.000,5
223,12,855.200,856.667,5
224,20,857.200,864.000,5
225,16,850.800,856.000,5
226,11,845.200,848.000,5
227,16,845.400,843.667,5
228,21,846.400,840.333,5
229,9,840.800,837.667,5
230,6,840.400,841.333,5
231,19,845.200,851.333,5
232,9,837.600,840.333,5
233,6,833.600,835.333,5
234,9,833.400,831.667,5
235,9,832.800,829.667,5
236,4,828.000,826.667,5
237,2,828.000,828.667,5
238,5,826.400,827.667,5
239,2,823.200,823.667,5
240,2,820.800,821.000,5
241,19,865.800,873.000,5
242,44,899.200,914.333,5
243,25,882.200,873.000,5
244,36,896.600,882.667,5
245,51,915.800,896.000,5
246,19,911.800,909.333,5
247,34,912.400,925.000,5
248,45,928.000,944.333,5
249,54,947.400,968.333,5
250,54,931.400,932.333,5
251,44,922.200,905.000,5
252,58,937.800,915.000,5
253,44,943.800,927.667,5
254,38,928.000,942.000,5
255,51,943.600,961.667,5
256,52,958.400,978.333,5
257,34,957.000,967.000,5
258,45,934.400,917.333,5
259,53,945.400,924.667,5
260,43,953.600,937.333,5
261,7,952.200,952.333,5
262,53,953.200,972.333,5
263,50,963.800,983.000,5
264,33,966.600,978.000,5
265,40,956.800,949.667,5
266,55,952.200,930.667,5
267,40,958.400,943.000,5
268,18,965.000,959.000,5
269,44,959.800,976.667,5
270,46,966.800,984.333,5
271,30,971.000,982.000,5
272,13,973.400,973.000,5
273,48,958.200,940.667,5
274,37,962.400,948.333,5
275,19,970.600,964.667,5
276,20,974.600,981.000,5
277,41,968.400,984.000,5
278,26,973.600,983.000,5
279,7,979.000,979.333,5
280,42,969.200,959.667,5
281,33,965.000,953.000,5
282,14,975.200,971.000,5
283,9,981.200,984.000,5
284,33,971.400,983.333,5
285,21,975.600,982.667,5
286,5,982.200,981.333,5
287,13,979.000,976.333,5
288,24,969.400,960.667,5
289,9,977.800,975.000,5
290,5,982.200,983.333,5
291,13,979.400,983.000,5
292,15,977.600,982.333,5
293,4,982.000,981.667,5
294,5,981.000,980.333,5
295,12,977.800,975.333,5
296,7,979.400,978.000,5
297,4,981.600,982.000,5
298,5,981.000,981.667,5
299,3,981.200,981.333,5
300,3,981.000,981.333,5
301,7,981.200,981.667,5
302,3,980.800,981.000,5
303,3,981.000,981.333,5
304,8,979.000,981.000,5
305,4,980.600,981.000,5
306,3,980.800,981.000,5
307,5,978.800,977.667,5
308,5,980.200,980.000,5
309,3,980.400,980.333,5
310,4,980.600,980.667,5
311,7,979.000,980.667,5
312,4,980.000,980.667,5
313,7,978.800,978.333,5
314,6,978.200,976.667,5
315,6,979.600,979.000,5
316,3,980.400,980.333,5
