h,difference,average,average3,amount
0,8,949.600,947.667,5
1,8,949.400,947.333,5
2,9,949.000,947.000,5
3,12,949.400,946.667,5
4,4,947.600,946.333,5
5,6,948.200,947.333,5
6,7,948.400,946.667,5
7,7,948.400,947.000,5
8,9,948.200,945.000,5
9,9,947.600,945.333,5
10,8,948.000,945.667,5
11,9,947.000,946.000,5
12,7,948.400,947.333,5
13,7,947.600,946.000,5
14,9,948.400,947.000,5
15,8,947.200,945.667,5
16,7,947.400,946.000,5
17,13,947.800,945.000,5
18,9,947.200,945.000,5
19,9,947.400,945.667,5
20,9,948.200,945.333,5
21,4,946.400,945.333,5
22,7,947.000,945.333,5
23,8,947.200,945.667,5
24,6,947.000,945.333,5
25,9,946.200,946.000,5
26,8,946.600,945.000,5
27,6,946.600,945.333,5
28,12,947.200,944.667,5
29,10,946.400,944.333,5
30,10,946.600,944.667,5
31,10,947.400,944.333,5
32,9,946.400,944.333,5
33,8,946.200,944.333,5
34,8,947.200,945.667,5
35,3,945.600,945.333,5
36,7,946.000,944.667,5
37,7,945.600,944.000,5
38,7,945.400,944.333,5
39,7,945.600,944.333,5
40,8,945.800,944.000,5
41,8,946.800,945.667,5
42,12,945.400,943.000,5
43,8,945.800,944.000,5
44,7,945.800,944.333,5
45,10,945.600,944.000,5
46,8,945.200,943.667,5
47,8,945.200,943.667,5
48,6,945.600,945.000,5
49,5,945.200,944.333,5
50,7,944.600,943.000,5
51,8,944.800,943.000,5
52,11,944.400,944.333,5
53,8,945.000,943.333,5
54,7,945.000,943.667,5
55,10,944.400,942.667,5
56,6,945.000,943.667,5
57,7,944.600,943.333,5
58,9,943.800,942.000,5
59,8,944.200,942.667,5
60,8,944.400,943.000,5
61,7,943.600,942.333,5
62,6,941.200,940.333,5
63,14,942.800,940.667,5
64,7,943.200,942.333,5
65,15,940.000,939.667,5
66,9,940.600,940.000,5
67,8,940.200,939.667,5
68,23,932.600,930.667,5
69,19,939.600,936.667,5
70,13,940.800,940.333,5
71,38,931.400,934.333,5
72,14,935.600,934.667,5
73,19,935.000,935.333,5
74,41,920.800,915.333,5
75,24,934.600,930.333,5
76,19,937.600,938.333,5
77,52,921.800,925.000,5
78,17,929.200,930.333,5
79,47,925.200,929.000,5
80,63,911.000,903.333,5
81,30,927.400,921.667,5
82,34,930.800,933.333,5
83,61,916.000,920.333,5
84,25,921.000,923.667,5
85,68,909.600,914.000,5
86,73,904.000,896.333,5
87,36,918.200,912.667,5
88,62,918.200,922.333,5
89,72,909.000,915.000,5
90,29,909.200,915.000,5
91,78,888.400,886.000,5
92,79,895.800,888.333,5
93,39,905.400,900.333,5
94,101,895.200,900.333,5
95,74,901.400,907.667,5
96,42,890.400,900.000,5
