h,difference,average,average3,amount
0,8,982.400,980.333,5
1,8,982.200,980.333,5
2,11,981.000,978.667,5
3,7,981.800,980.000,5
4,7,981.600,980.000,5
5,8,981.800,980.000,5
6,8,982.400,981.333,5
7,8,981.800,980.333,5
8,9,980.800,978.667,5
9,14,981.600,978.333,5
10,11,980.800,978.333,5
11,9,981.400,979.333,5
12,5,981.400,981.000,5
13,7,981.600,980.333,5
14,8,982.000,979.333,5
15,7,981.400,979.333,5
16,7,982.200,980.333,5
17,7,980.600,980.000,5
18,6,981.000,979.667,5
19,7,981.600,980.333,5
20,15,981.800,979.000,5
21,9,981.600,980.000,5
22,8,981.600,980.333,5
23,10,981.200,979.667,5
24,8,981.400,980.000,5
25,7,981.200,979.667,5
26,7,981.200,979.667,5
27,6,982.400,981.333,5
28,8,980.800,978.667,5
29,6,981.600,980.000,5
30,6,982.400,981.333,5
31,7,980.800,980.333,5
32,8,981.600,980.333,5
33,9,981.800,980.667,5
34,11,981.600,980.333,5
35,8,981.800,980.667,5
36,9,982.600,980.667,5
37,11,980.800,978.333,5
38,8,981.600,979.667,5
39,4,981.000,980.000,5
40,6,981.800,980.333,5
41,4,983.000,982.333,5
42,8,980.800,979.333,5
43,6,981.800,980.667,5
44,9,982.000,980.000,5
45,9,981.800,982.000,5
46,6,981.800,981.000,5
47,6,981.800,980.667,5
48,6,982.000,980.667,5
49,7,981.800,980.333,5
50,10,982.000,980.333,5
51,7,981.800,980.333,5
52,3,982.600,982.333,5
53,3,982.200,981.667,5
54,8,983.000,981.333,5
55,5,981.800,980.667,5
56,5,982.600,981.667,5
57,5,982.200,981.000,5
58,8,981.200,981.333,5
59,4,982.200,981.333,5
60,4,982.200,981.333,5
61,10,980.400,978.333,5
62,4,982.200,981.333,5
63,5,981.400,980.667,5
64,10,980.000,979.333,5
65,3,982.600,982.000,5
66,6,979.800,979.000,5
67,14,978.600,975.333,5
68,5,983.200,983.000,5
69,15,979.400,980.000,5
70,17,978.800,977.667,5
71,4,982.400,981.667,5
72,26,973.600,976.000,5
73,19,975.000,971.667,5
74,6,982.200,981.667,5
75,27,976.200,978.667,5
76,19,977.400,976.667,5
77,8,980.800,979.000,5
78,35,967.400,966.667,5
79,24,972.600,969.333,5
80,9,981.000,980.667,5
81,35,973.000,976.667,5
82,22,975.000,975.667,5
83,11,978.600,978.667,5
84,45,962.200,960.000,5
85,27,967.800,965.000,5
86,15,974.000,975.000,5
87,45,968.000,971.000,5
88,26,972.400,974.000,5
89,24,969.600,971.333,5
90,41,959.400,957.000,5
91,32,965.600,963.333,5
92,37,966.800,970.333,5
93,48,966.600,970.333,5
94,32,969.800,972.667,5
95,44,954.800,958.667,5
96,54,954.800,952.000,5
97,42,959.800,957.667,5
98,42,954.400,958.667,5
99,50,966.000,970.000,5
100,32,966.200,970.333,5
101,43,943.400,945.667,5
102,54,948.800,945.333,5
103,48,953.000,950.333,5
104,44,945.000,951.333,5
105,43,947.600,949.667,5
106,52,959.400,962.333,5
107,32,953.600,962.000,5
108,47,932.400,932.667,5
109,51,941.000,939.333,5
110,56,946.800,947.333,5
111,29,933.600,939.333,5
112,39,941.000,946.000,5
113,47,951.600,956.000,5
114,54,926.400,937.000,5
115,49,921.000,924.000,5
116,55,925.600,928.333,5
117,60,918.400,928.000,5
118,28,911.600,918.667,5
119,22,903.000,908.333,5
120,69,889.000,904.333,5
121,60,894.200,906.667,5
122,30,888.600,897.333,5
123,62,896.000,909.000,5
124,44,888.800,897.667,5
125,61,901.800,913.667,5
126,65,894.400,906.333,5
127,38,887.800,894.000,5
128,46,891.600,900.667,5
129,11,896.200,898.333,5
130,24,894.000,899.333,5
131,43,895.200,903.000,5
132,33,895.400,900.000,5
133,45,895.200,899.000,5
134,54,893.200,900.333,5
135,45,895.200,903.667,5
136,15,898.800,902.333,5
137,12,901.400,902.667,5
138,47,903.200,909.000,5
139,58,895.800,901.333,5
140,42,896.200,900.333,5
141,43,896.600,901.333,5
142,53,897.200,908.667,5
143,42,899.200,910.000,5
144,43,898.600,905.333,5
145,43,902.000,909.333,5
146,46,899.400,905.667,5
147,30,898.200,900.667,5
148,40,902.600,910.000,5
149,45,901.800,909.667,5
150,49,905.200,913.667,5
151,45,905.200,914.333,5
152,46,904.800,912.333,5
153,41,904.400,911.667,5
154,23,906.400,908.000,5
155,32,903.400,907.000,5
156,35,905.600,912.333,5
157,45,909.200,917.667,5
158,26,911.800,917.000,5
159,40,910.800,918.333,5
160,62,912.400,923.667,5
161,50,912.800,921.667,5
162,26,916.200,922.000,5
163,31,916.200,924.333,5
164,54,916.200,928.667,5
165,27,914.000,919.000,5
166,25,917.200,922.333,5
167,26,913.400,920.333,5
168,53,915.800,926.667,5
169,39,917.400,922.333,5
170,21,920.600,925.000,5
171,31,919.000,926.667,5
172,38,916.000,925.333,5
173,17,916.000,918.333,5
174,22,915.600,917.000,5
