h,difference,average,average3,amount
0,5,931.800,930.333,5
1,6,931.333,929.000,3
2,6,931.333,929.000,3
3,6,932.000,931.000,5
4,8,931.600,929.000,5
5,9,930.200,928.000,5
6,10,929.200,927.667,5
7,8,929.600,928.667,5
8,7,930.200,928.667,5
9,7,930.000,928.333,5
10,8,930.800,928.333,5
11,6,930.600,929.667,5
12,6,930.000,928.667,5
13,6,930.000,928.667,5
14,9,930.400,928.667,5
15,8,929.600,927.667,5
16,8,929.400,927.333,5
17,3,928.200,927.333,5
18,8,930.400,928.000,5
19,6,929.600,928.000,5
20,6,929.400,927.667,5
21,7,929.200,927.333,5
22,8,929.200,928.667,5
23,7,928.800,927.333,5
24,6,929.000,927.667,5
25,12,930.200,927.667,5
26,8,929.800,928.000,5
27,14,928.000,925.333,5
28,9,928.800,927.000,5
29,9,929.800,927.000,5
30,6,928.400,926.667,5
31,6,928.200,926.333,5
32,6,928.600,927.000,5
33,6,929.200,928.000,5
34,5,928.600,927.333,5
35,10,928.800,927.000,5
36,14,928.200,926.333,5
37,8,928.400,926.667,5
38,8,928.200,926.333,5
39,8,927.800,926.000,5
40,8,929.400,927.333,5
41,13,927.200,924.667,5
42,9,928.200,926.333,5
43,11,927.200,924.667,5
44,3,927.200,926.333,5
45,7,927.400,925.667,5
46,7,928.200,927.000,5
47,11,929.000,926.667,5
48,8,927.800,926.000,5
49,12,926.800,924.333,5
50,9,926.600,924.667,5
51,8,927.600,926.333,5
52,8,927.000,925.000,5
53,8,927.000,925.000,5
54,11,925.800,923.667,5
55,9,926.400,924.000,5
56,8,926.200,924.000,5
57,4,925.400,925.000,5
58,12,927.000,924.333,5
59,9,926.400,924.333,5
60,9,926.000,924.000,5
61,8,925.600,923.667,5
62,9,924.600,923.000,5
63,14,923.000,922.333,5
64,8,924.200,922.000,5
65,13,921.000,918.000,5
66,19,917.800,916.000,5
67,9,924.600,923.000,5
68,16,920.800,919.667,5
69,23,916.400,917.000,5
70,12,921.800,919.667,5
71,27,912.600,909.000,5
72,30,911.200,909.000,5
73,13,921.400,921.333,5
74,32,912.800,913.333,5
75,33,909.000,910.667,5
76,18,914.800,914.333,5
77,52,894.800,890.667,5
78,38,900.800,899.000,5
79,19,914.600,915.667,5
80,66,896.600,900.333,5
81,42,902.000,904.667,5
82,23,905.400,904.333,5
83,79,879.200,874.667,5
84,41,892.400,890.667,5
85,29,904.200,906.333,5
86,88,885.600,891.333,5
87,48,892.600,896.333,5
88,29,886.600,885.667,5
89,95,867.000,862.667,5
90,53,878.800,877.000,5
91,38,882.800,885.000,5
92,99,878.800,887.333,5
93,54,878.200,882.333,5
94,54,855.000,851.000,5
95,105,855.000,850.667,5
96,58,863.000,861.000,5
97,76,850.800,854.333,5
98,112,862.800,872.000,5
99,56,859.800,864.333,5
100,108,808.600,805.667,5
101,118,828.400,823.333,5
102,80,838.000,835.000,5
103,56,817.800,820.000,5
104,120,820.000,830.667,5
105,118,839.200,849.333,5
106,30,809.600,813.333,5
107,114,770.000,768.667,5
108,124,790.400,787.667,5
109,87,790.200,785.667,5
110,125,741.000,750.333,5
111,131,757.600,767.667,5
112,144,772.800,784.333,5
113,68,682.400,687.667,5
114,95,680.600,681.667,5
115,110,682.000,681.333,5
116,92,658.400,650.667,5
117,127,585.200,599.000,5
118,145,557.800,581.667,5
119,125,487.000,513.000,5
120,152,319.600,356.667,5
121,217,332.800,377.333,5
122,221,319.000,360.000,5
123,171,330.600,370.667,5
124,172,320.600,365.667,5
125,175,341.400,381.333,5
126,177,340.000,380.667,5
127,183,342.600,382.333,5
128,215,363.000,396.333,5
129,176,351.200,384.667,5
130,183,351.600,388.333,5
131,207,352.800,395.333,5
132,136,353.400,375.667,5
133,144,358.800,377.333,5
134,147,344.800,369.333,5
135,163,357.200,372.000,5
136,182,368.400,378.333,5
137,126,357.400,370.333,5
138,108,360.400,374.000,5
139,85,384.400,390.333,5
140,116,399.000,394.667,5
141,135,390.600,381.667,5
142,146,394.000,389.000,5
143,145,396.000,385.333,5
144,166,386.200,368.667,5
145,145,383.000,374.667,5
146,87,392.000,389.667,5
147,65,422.200,427.333,5
148,122,420.000,421.000,5
149,126,422.200,422.000,5
150,134,424.200,418.000,5
151,173,421.600,417.000,5
152,165,421.800,422.667,5
153,139,410.600,415.333,5
154,141,421.400,411.667,5
155,140,414.600,401.000,5
156,115,416.400,407.000,5
157,125,433.000,421.000,5
158,138,425.400,408.667,5
159,166,435.200,413.333,5
160,140,420.200,411.667,5
161,78,428.600,420.333,5
162,116,426.800,421.667,5
163,158,421.200,423.333,5
164,136,436.600,446.333,5
165,152,440.000,440.000,5
166,97,421.600,413.667,5
167,52,421.200,416.667,5
168,52,430.600,429.000,5
169,46,438.600,432.667,5
170,70,437.400,427.667,5
171,61,437.200,434.000,5
172,47,446.000,442.333,5
173,77,449.600,436.333,5
174,57,459.000,446.667,5
175,60,453.600,446.000,5
176,75,469.200,466.000,5
177,90,474.200,469.000,5
178,103,475.400,470.000,5
179,90,479.000,471.333,5
180,69,469.600,462.667,5
181,58,463.200,459.667,5
182,77,464.800,455.333,5
183,83,469.400,463.333,5
184,115,474.600,464.000,5
185,75,468.600,463.000,5
186,81,472.400,462.667,5
187,113,486.400,477.000,5
188,118,485.200,473.333,5
189,113,478.600,457.667,5
190,110,486.800,468.000,5
191,117,488.400,468.333,5
192,107,464.400,458.000,5
193,86,452.000,453.000,5
194,76,450.600,447.333,5
195,66,446.200,440.333,5
196,46,441.000,437.333,5
197,50,437.600,433.667,5
198,49,437.000,431.667,5
199,60,436.400,432.333,5
200,65,434.400,434.333,5
201,79,435.400,437.000,5
202,57,428.400,427.000,5
203,46,422.400,420.333,5
204,30,421.000,419.333,5
205,65,424.000,428.000,5
206,52,420.400,420.667,5
207,65,419.000,424.333,5
208,52,413.200,417.333,5
209,45,410.200,412.333,5
210,57,409.200,412.667,5
211,38,404.200,405.667,5
212,35,401.800,403.333,5
213,31,399.200,400.000,5
214,34,398.200,398.333,5
215,27,397.000,396.667,5
216,24,395.200,394.333,5
217,22,393.400,392.667,5
218,16,391.600,390.000,5
219,17,388.600,388.667,5
220,26,388.400,389.667,5
221,31,386.600,387.333,5
