h,difference,average,average3,amount
0,7,966.000,964.333,5
1,7,965.600,964.000,5
2,7,965.200,963.667,5
3,7,965.200,963.667,5
4,7,964.800,963.000,5
5,8,964.600,962.667,5
6,7,966.600,964.333,5
7,7,964.800,963.000,5
8,7,964.800,963.000,5
9,9,963.000,961.667,5
10,10,962.600,961.333,5
11,7,963.800,962.333,5
12,6,964.600,964.000,5
13,5,964.000,963.000,5
14,14,965.400,963.333,5
15,8,964.200,962.667,5
16,8,963.600,962.000,5
17,4,962.000,961.000,5
18,6,962.800,961.333,5
19,8,965.000,963.000,5
20,6,963.200,961.667,5
21,6,963.400,962.000,5
22,6,963.000,961.667,5
23,7,962.000,961.000,5
24,7,962.400,961.333,5
25,12,965.000,963.333,5
26,8,963.200,961.667,5
27,7,963.200,962.000,5
28,8,962.600,961.000,5
29,8,962.400,960.667,5
30,9,964.200,962.000,5
31,6,960.800,959.667,5
32,6,962.200,960.667,5
33,6,962.200,960.667,5
34,6,963.000,962.000,5
35,6,962.000,960.667,5
36,10,964.000,962.333,5
37,7,962.000,961.000,5
38,7,962.000,961.000,5
39,7,961.600,960.333,5
40,6,961.600,960.333,5
41,6,963.000,961.333,5
42,10,961.200,959.333,5
43,7,961.400,959.667,5
44,8,961.200,959.333,5
45,6,961.400,960.667,5
46,5,960.800,959.667,5
47,8,961.400,959.667,5
48,7,961.200,959.667,5
49,7,961.200,959.667,5
50,6,960.800,959.333,5
51,11,958.600,957.667,5
52,6,960.400,959.333,5
53,6,960.800,959.333,5
54,6,960.600,959.333,5
55,8,959.600,958.000,5
56,5,960.200,959.000,5
57,5,960.200,959.000,5
58,8,959.200,957.667,5
59,6,960.200,959.000,5
60,5,960.200,959.333,5
61,6,959.200,958.000,5
62,7,957.000,956.333,5
63,7,959.800,958.667,5
64,13,957.200,956.000,5
65,9,958.000,957.667,5
66,6,958.400,957.000,5
67,18,952.400,949.667,5
68,11,953.600,952.667,5
69,9,958.400,957.667,5
70,34,950.000,948.667,5
71,19,954.400,955.667,5
72,11,956.000,954.000,5
73,41,939.800,935.667,5
74,18,949.600,949.000,5
75,15,956.200,955.333,5
76,49,941.200,943.333,5
77,27,949.200,951.000,5
78,21,952.000,949.667,5
79,56,927.200,922.667,5
80,31,941.000,939.000,5
81,26,950.000,948.667,5
82,64,936.200,940.333,5
83,33,944.000,946.333,5
84,43,942.200,938.667,5
85,66,920.600,916.333,5
86,36,935.000,932.667,5
87,47,941.200,939.667,5
88,72,931.200,936.000,5
89,38,937.200,939.333,5
90,93,919.800,914.000,5
91,76,913.000,908.000,5
92,42,924.600,921.333,5
93,86,917.000,916.667,5
94,79,925.800,930.667,5
95,42,927.000,929.000,5
96,93,885.600,882.667,5
97,90,904.600,899.667,5
98,44,913.400,909.667,5
99,97,894.400,899.667,5
100,93,916.400,920.667,5
101,54,912.800,914.000,5
102,89,860.200,856.667,5
103,106,882.000,878.333,5
104,85,892.400,887.000,5
105,90,866.200,857.667,5
106,104,874.000,880.667,5
107,103,896.600,902.667,5
108,81,866.800,861.333,5
109,93,825.000,820.000,5
110,110,845.000,840.667,5
111,97,855.400,847.333,5
112,97,804.200,810.667,5
113,114,820.600,829.000,5
114,135,842.200,852.667,5
115,81,737.200,737.000,5
116,94,739.600,739.000,5
117,105,727.800,727.000,5
118,113,690.800,677.667,5
119,112,573.200,586.667,5
120,177,347.000,377.000,5
121,156,357.800,384.333,5
122,161,362.400,390.333,5
123,193,366.600,399.000,5
124,129,365.000,391.333,5
125,182,399.600,434.667,5
126,175,396.600,431.000,5
127,174,392.600,427.667,5
128,162,415.000,448.667,5
129,148,411.400,442.333,5
130,147,404.200,436.333,5
131,190,417.200,464.333,5
132,178,423.600,467.000,5
133,212,437.200,470.667,5
134,196,429.800,467.000,5
135,137,433.000,466.667,5
136,145,443.200,471.333,5
137,184,447.200,479.000,5
138,146,429.400,456.333,5
