h,difference,average,average3,amount
227,4,919.000,919.333,5
228,4,919.400,918.667,5
229,6,917.400,917.667,5
230,3,917.400,917.333,5
231,6,918.000,918.667,5
232,4,917.000,917.333,5
233,3,915.600,915.667,5
234,5,916.000,915.000,5
235,6,915.400,914.000,5
236,2,914.800,914.333,5
237,4,915.400,915.667,5
238,4,913.600,913.000,5
239,2,913.800,913.667,5
240,3,913.400,913.333,5
241,5,923.600,924.333,5
242,10,931.400,933.333,5
243,16,940.400,944.000,5
244,7,943.400,944.333,5
245,17,944.200,940.000,5
246,24,953.000,946.667,5
247,27,958.400,953.000,5
248,12,944.400,946.667,5
249,17,950.000,954.000,5
250,26,957.600,963.667,5
251,23,963.000,968.333,5
252,21,954.800,949.333,5
253,31,964.200,956.333,5
254,33,970.200,962.333,5
255,17,958.600,958.000,5
256,21,956.800,961.667,5
257,30,965.400,972.667,5
258,25,969.600,975.333,5
259,6,967.800,966.333,5
260,31,969.200,961.667,5
261,32,974.200,966.333,5
262,19,972.000,968.333,5
263,22,962.800,967.667,5
264,31,969.000,976.333,5
265,22,973.200,978.667,5
266,7,976.800,978.000,5
267,32,973.200,965.333,5
268,30,976.200,968.667,5
269,20,977.400,973.000,5
270,17,973.000,975.667,5
271,30,971.400,978.667,5
272,22,975.200,980.333,5
273,8,980.600,982.000,5
274,19,982.200,978.000,5
275,28,977.600,970.667,5
276,20,979.800,975.333,5
277,9,981.400,982.000,5
278,25,975.000,980.667,5
279,20,976.800,981.000,5
280,6,983.200,983.667,5
281,9,985.600,983.667,5
282,20,980.800,976.000,5
283,16,981.600,977.667,5
284,7,983.400,982.333,5
285,18,981.200,984.667,5
286,17,978.200,981.667,5
287,4,985.000,985.333,5
288,5,986.200,985.333,5
289,10,984.000,981.667,5
290,13,983.200,980.333,5
291,3,986.400,986.333,5
292,5,985.000,985.667,5
293,10,981.200,983.333,5
294,7,984.200,984.333,5
295,3,986.000,985.667,5
296,5,985.800,985.000,5
297,3,986.200,986.000,5
298,3,986.000,985.667,5
