h,difference,average,average3,amount
0,8,986.600,984.667,5
1,6,986.400,985.000,5
2,7,986.000,984.333,5
3,7,986.400,985.000,5
4,7,987.000,986.000,5
5,7,985.800,984.000,5
6,8,985.200,983.333,5
7,7,986.200,984.667,5
8,7,986.000,984.667,5
9,9,986.400,984.667,5
10,9,986.000,984.333,5
11,7,986.800,985.667,5
12,7,986.400,985.333,5
13,7,986.600,984.333,5
14,7,986.200,984.333,5
15,7,986.200,984.000,5
16,6,986.000,985.333,5
17,6,986.400,985.000,5
18,5,987.200,987.000,5
19,7,987.200,986.333,5
20,8,986.200,984.667,5
21,9,986.600,985.333,5
22,8,986.600,985.333,5
23,9,987.000,985.667,5
24,8,987.000,985.333,5
25,7,986.400,985.000,5
26,8,986.400,984.667,5
27,6,986.800,985.333,5
28,5,986.800,985.333,5
29,5,987.600,986.667,5
30,5,986.200,986.000,5
31,11,987.600,986.000,5
32,8,987.000,986.000,5
33,9,986.800,985.667,5
34,8,987.000,986.333,5
35,8,987.200,986.667,5
36,9,986.200,984.333,5
37,9,986.800,985.000,5
38,3,986.400,986.000,5
39,5,986.600,985.667,5
40,3,987.800,987.333,5
41,6,986.200,985.333,5
42,9,987.800,986.000,5
43,7,987.600,986.333,5
44,9,986.000,985.667,5
45,7,986.600,985.667,5
46,8,987.600,987.333,5
47,8,988.000,986.333,5
48,7,987.800,986.667,5
49,5,987.800,987.000,5
50,6,987.200,986.000,5
51,4,989.000,988.667,5
52,2,987.000,987.000,5
53,5,988.000,987.000,5
54,4,987.600,986.667,5
55,10,986.800,985.000,5
56,4,988.600,988.333,5
57,5,987.600,987.000,5
58,5,988.600,987.333,5
59,5,987.800,987.000,5
60,4,988.200,987.667,5
61,4,988.000,987.333,5
62,7,987.600,986.667,5
63,5,988.200,987.333,5
64,3,988.000,987.667,5
65,6,984.600,983.000,5
66,4,988.400,988.000,5
67,8,988.000,988.000,5
68,19,982.600,982.667,5
69,12,987.800,986.333,5
70,2,987.600,987.667,5
71,13,980.800,979.667,5
72,7,987.600,986.667,5
73,13,986.800,987.667,5
74,28,981.000,981.333,5
75,10,987.200,987.000,5
76,6,985.400,985.667,5
77,20,978.000,976.667,5
78,7,985.800,984.667,5
79,23,983.600,985.667,5
80,32,979.000,979.667,5
81,15,985.400,985.333,5
82,26,980.200,983.000,5
83,25,976.000,974.333,5
84,9,981.400,980.333,5
85,42,977.400,981.333,5
86,34,978.400,980.000,5
87,20,983.000,983.333,5
88,34,975.000,976.333,5
89,28,973.800,972.333,5
90,11,978.000,978.333,5
91,45,970.800,971.333,5
92,36,976.400,977.667,5
93,18,977.600,978.667,5
94,42,965.400,962.333,5
95,28,973.600,973.333,5
96,14,970.800,972.000,5
97,39,969.600,972.000,5
98,39,976.200,978.333,5
99,18,971.400,974.333,5
100,44,963.200,962.667,5
101,41,968.000,968.000,5
102,22,967.400,969.000,5
103,32,961.800,963.000,5
104,37,970.600,972.333,5
105,30,971.800,973.333,5
106,29,949.200,947.667,5
107,39,955.400,952.667,5
108,42,962.200,960.333,5
109,17,949.600,950.333,5
110,24,954.800,954.333,5
111,35,964.400,964.667,5
112,26,957.200,962.667,5
113,35,942.400,943.000,5
114,40,943.800,943.000,5
115,39,948.800,948.333,5
116,14,933.800,935.333,5
117,18,936.000,937.667,5
118,18,939.400,939.667,5
119,14,922.400,926.333,5
120,17,915.600,920.333,5
121,5,915.400,916.000,5
122,10,916.000,916.000,5
123,18,920.800,922.000,5
124,13,919.800,920.000,5
125,17,923.000,921.000,5
126,34,921.200,926.667,5
127,36,925.400,932.667,5
128,7,928.600,928.333,5
129,8,924.000,922.667,5
130,17,926.200,927.333,5
131,23,928.400,931.333,5
132,26,928.000,926.667,5
133,25,928.600,927.000,5
134,40,929.800,937.000,5
135,22,934.200,938.667,5
136,13,932.600,931.667,5
137,6,929.400,929.333,5
138,38,927.000,935.667,5
139,33,929.800,932.667,5
140,43,933.000,936.333,5
141,53,933.800,938.667,5
142,39,933.000,941.000,5
143,19,936.800,940.333,5
144,20,935.600,937.333,5
145,29,932.200,933.000,5
146,44,930.000,932.667,5
147,54,930.200,933.000,5
148,51,932.200,937.333,5
149,49,934.400,942.667,5
150,21,940.200,944.000,5
151,21,939.000,942.333,5
152,26,938.200,942.667,5
153,26,936.800,939.333,5
