h,difference,average,average3,amount
313,9,989.800,987.667,5
314,7,991.200,991.667,5
315,4,992.600,992.333,5
316,2,992.600,992.000,5
317,7,990.600,990.000,5
318,6,991.400,991.667,5
319,7,990.200,988.667,5
320,10,988.400,986.667,5
321,8,990.200,990.333,5
322,4,992.200,992.333,5
323,4,991.600,991.000,5
324,8,990.200,989.667,5
325,10,988.200,986.667,5
326,6,988.200,987.000,5
327,10,988.400,987.000,5
328,9,989.600,989.667,5
329,5,991.800,992.000,5
330,6,990.400,990.000,5
331,8,989.800,989.667,5
332,10,987.200,985.333,5
333,6,987.000,985.667,5
334,10,987.400,986.000,5
335,10,989.400,989.000,5
336,8,989.400,990.333,5
337,7,989.600,989.667,5
338,9,989.200,988.667,5
339,5,985.800,984.667,5
340,4,985.600,985.333,5
341,10,987.200,986.000,5
342,11,987.400,986.000,5
343,6,988.600,989.333,5
344,7,989.200,989.667,5
345,9,987.000,985.333,5
346,4,985.200,984.000,5
347,4,985.600,985.333,5
348,9,986.800,986.000,5
349,7,985.600,984.333,5
350,6,987.200,988.333,5
351,5,987.200,986.667,5
352,4,985.600,984.667,5
353,2,984.800,984.000,5
354,4,984.800,984.333,5
355,9,986.400,985.333,5
356,4,984.400,983.667,5
357,2,984.800,984.667,5
358,3,984.200,983.667,5
359,3,984.000,983.000,5
