h,difference,average,average3,amount
227,8,899.400,900.333,5
228,7,897.400,897.000,5
229,8,897.200,898.000,5
230,11,898.600,898.000,5
231,8,894.600,893.667,5
232,5,893.000,892.667,5
233,13,894.400,896.667,5
234,4,892.000,892.667,5
235,4,890.800,890.333,5
236,2,889.000,889.000,5
237,5,889.000,888.333,5
238,1,887.400,887.333,5
239,2,886.800,886.667,5
240,2,885.000,884.667,5
241,13,906.800,906.667,5
242,25,924.200,924.333,5
243,27,931.800,937.000,5
244,17,922.200,920.333,5
245,24,932.200,930.000,5
246,36,944.000,941.000,5
247,18,946.000,944.333,5
248,29,941.000,941.667,5
249,40,954.200,955.333,5
250,42,963.400,966.333,5
251,23,937.800,936.333,5
252,30,945.400,942.667,5
253,42,957.400,953.667,5
254,33,962.400,959.667,5
255,30,952.000,953.333,5
256,45,963.800,965.000,5
257,41,971.200,973.333,5
258,18,963.600,966.000,5
259,33,952.400,949.333,5
260,42,963.000,959.000,5
261,32,968.600,965.667,5
262,6,968.600,968.000,5
263,43,968.600,971.000,5
264,38,974.400,976.333,5
265,23,975.000,976.667,5
266,31,961.800,961.333,5
267,42,966.600,962.667,5
268,31,972.000,968.667,5
269,12,977.800,975.667,5
270,39,974.600,975.667,5
271,36,976.400,978.000,5
272,22,979.400,980.333,5
273,13,978.800,979.667,5
274,37,969.000,965.667,5
275,27,974.800,972.000,5
276,11,982.200,980.000,5
277,17,984.600,985.333,5
278,33,977.400,978.667,5
279,20,981.800,982.333,5
280,4,984.200,984.000,5
281,29,975.400,973.667,5
282,24,976.800,974.000,5
283,8,985.800,984.000,5
284,7,987.600,987.333,5
285,23,981.400,982.000,5
286,16,983.400,983.667,5
287,3,988.400,987.667,5
288,9,985.000,984.667,5
289,18,979.000,976.667,5
290,9,986.400,984.000,5
291,4,988.600,988.000,5
292,7,986.400,986.333,5
293,12,984.600,984.333,5
294,3,988.400,987.667,5
295,3,987.400,986.667,5
296,6,985.600,984.667,5
297,3,988.000,987.333,5
298,2,987.600,987.000,5
299,2,987.400,987.000,5
300,2,987.600,987.000,5
301,2,987.600,987.000,5
302,3,987.200,986.667,5
303,4,987.200,986.333,5
304,4,986.200,986.333,5
305,2,987.200,986.667,5
306,6,986.600,985.333,5
307,3,987.000,986.333,5
308,3,987.000,986.333,5
309,6,985.800,984.333,5
310,6,986.000,984.667,5
311,3,985.800,986.000,5
312,5,985.600,984.667,5
313,7,985.200,984.667,5
314,4,986.600,986.000,5
315,7,986.200,985.000,5
316,8,985.200,983.333,5
317,7,984.600,983.333,5
318,4,985.400,985.667,5
319,4,984.400,984.667,5
320,8,984.600,984.333,5
321,7,985.000,985.333,5
322,7,985.000,983.333,5
323,7,983.800,982.333,5
324,7,984.000,983.000,5
325,5,984.200,983.667,5
326,6,984.800,984.333,5
327,8,984.600,984.333,5
328,7,984.400,984.333,5
329,8,984.200,983.000,5
330,7,983.800,982.333,5
331,8,983.200,982.000,5
332,4,983.000,982.667,5
333,7,984.400,984.000,5
334,8,984.400,984.333,5
335,7,983.200,982.333,5
336,5,983.200,982.000,5
337,7,983.600,982.333,5
338,9,982.400,980.333,5
339,3,983.200,983.000,5
340,6,983.200,984.000,5
341,7,983.400,983.000,5
342,10,982.200,980.667,5
343,5,982.800,982.000,5
344,8,983.200,981.667,5
345,4,981.400,980.333,5
346,3,982.000,981.333,5
347,6,983.000,983.667,5
348,8,982.600,981.667,5
349,5,981.200,980.333,5
350,4,981.600,981.000,5
351,7,982.400,981.000,5
352,5,981.400,980.000,5
353,3,981.400,981.000,5
354,3,981.400,981.333,5
355,3,981.400,981.000,5
356,4,981.200,980.333,5
357,4,980.600,979.667,5
358,4,980.400,979.667,5
359,4,980.600,979.667,5
