h,result
0,964
1,964
2,963
3,964
4,963
5,962
6,963
7,962
8,962
9,962
10,962
11,962
12,967
13,963
14,960
15,962
16,961
17,961
18,961
19,961
20,961
21,961
22,961
23,962
24,962
25,962
26,961
27,962
28,960
29,960
30,959
31,960
32,960
33,960
34,965
35,961
36,961
37,961
38,961
39,960
40,960
41,960
42,956
43,959
44,958
45,963
46,960
47,960
48,959
49,959
50,959
51,959
52,959
53,960
54,960
55,956
56,959
57,959
58,959
59,958
60,959
61,958
62,952
63,959
64,958
65,958
66,956
67,949
68,947
69,960
70,959
71,958
72,953
73,930
74,940
75,959
76,959
77,956
78,950
79,903
80,926
81,953
82,959
83,955
84,939
85,893
86,918
87,950
88,958
89,952
90,915
91,882
92,907
93,938
94,956
95,944
96,859
97,871
98,897
99,924
100,952
101,939
102,835
103,848
104,865
105,883
106,908
107,937
108,904
109,788
110,804
111,821
112,839
113,859
114,886
115,724
116,722
117,707
118,689
119,638
120,467
121,462
122,473
123,497
124,445
125,437
126,438
127,431
128,439
129,444
130,443
131,521
132,520
133,504
134,505
135,494
136,474
137,474
138,512
139,533
140,529
141,531
142,472
143,462
144,459
145,490
146,516
147,527
148,537
149,511
150,548
151,541
152,573
153,593
154,609
155,614
156,615
157,578
158,585
159,485
160,526
161,555
162,574
163,570
164,588
165,562
166,525
167,566
168,610
169,613
170,619
171,624
172,624
173,546
174,547
175,557
176,624
177,626
178,592
179,628
180,625
181,625
182,623
183,600
184,621
185,619
186,618
187,575
188,532
189,547
190,566
191,572
192,553
193,559
194,548
195,529
196,529
197,529
198,543
199,538
200,538
201,526
202,515
203,510
204,528
205,516
206,518
207,524
208,505
209,505
210,491
211,497
212,488
213,497
214,497
215,488
216,478
217,470
218,466
219,475
220,477
221,463
222,455
223,453
224,448
225,449
226,455
227,446
228,436
229,432
230,427
231,425
232,423
233,428
234,425
235,423
236,420
237,416
238,413
239,410
240,409
241,581
242,659
243,716
244,762
245,809
246,852
247,897
248,873
249,789
250,816
251,842
252,872
253,904
254,942
255,930
256,830
257,847
258,871
259,898
260,927
261,952
262,949
263,916
264,865
265,887
266,911
267,939
268,961
269,957
270,944
271,876
272,897
273,923
274,952
275,962
276,960
277,954
278,935
279,906
280,931
281,956
282,962
283,961
284,958
285,951
286,923
287,940
288,963
289,961
290,961
291,960
292,957
293,951
294,947
295,960
296,960
297,960
298,960
299,959
300,959
301,960
302,960
303,959
304,959
305,959
306,959
307,959
308,959
309,955
310,962
311,959
312,959
313,959
314,959
315,958
316,958
317,959
318,959
319,959
320,959
321,959
322,958
323,958
324,959
325,959
326,959
327,959
328,955
329,958
330,958
331,958
332,960
333,960
334,960
335,958
336,959
337,958
338,958
339,959
340,960
341,960
342,958
343,958
344,958
345,959
346,963
347,961
348,959
349,959
350,959
351,959
352,959
353,959
354,957
355,960
356,959
357,959
358,960
359,960
