h,result
0,964
1,964
2,964
3,963
4,963
5,963
6,967
7,964
8,964
9,960
10,959
11,962
12,962
13,963
14,962
15,962
16,962
17,962
18,962
19,966
20,963
21,963
22,963
23,960
24,960
25,961
26,961
27,961
28,961
29,960
30,965
31,962
32,962
33,962
34,961
35,961
36,961
37,960
38,960
39,960
40,960
41,963
42,961
43,960
44,960
45,961
46,960
47,960
48,960
49,960
50,959
51,954
52,959
53,959
54,959
55,959
56,959
57,959
58,959
59,959
60,959
61,959
62,958
63,957
64,951
65,956
66,959
67,959
68,958
69,954
70,929
71,953
72,960
73,958
74,957
75,948
76,913
77,943
78,960
79,958
80,954
81,934
82,905
83,933
84,960
85,957
86,951
87,911
88,895
89,922
90,960
91,956
92,942
93,863
94,883
95,911
96,941
97,954
98,930
99,839
100,862
101,885
102,912
103,944
104,932
105,800
106,815
107,836
108,857
109,880
110,911
111,894
112,748
113,759
114,771
115,782
116,791
117,786
118,680
119,526
120,323
121,332
122,337
123,340
124,345
125,352
126,346
127,348
128,397
129,395
130,382
131,363
132,352
133,348
134,352
135,391
136,426
137,416
138,394
139,377
140,375
141,375
142,400
143,443
144,452
145,479
146,435
147,414
148,409
149,396
150,453
151,470
152,480
153,500
154,465
155,452
156,430
157,501
158,551
159,559
160,560
161,562
162,550
163,526
164,538
165,558
166,568
167,575
168,579
169,582
170,570
171,551
172,570
173,584
174,589
175,609
176,610
177,575
178,576
179,588
180,584
181,608
182,613
183,557
184,567
185,575
186,596
187,599
188,601
189,575
190,602
191,604
192,583
193,574
194,587
195,575
196,557
197,557
198,539
199,517
200,513
201,509
202,518
203,518
204,516
205,508
206,498
207,490
208,495
209,502
210,504
211,509
212,492
213,484
214,472
215,472
216,482
217,486
218,482
219,473
220,464
221,460
222,455
223,470
224,474
225,454
226,449
227,441
228,432
229,432
230,439
231,439
232,431
233,427
234,423
235,420
236,417
237,420
238,414
239,412
240,418
241,625
242,729
243,803
244,855
245,741
246,773
247,805
248,837
249,874
250,912
251,930
252,805
253,826
254,850
255,877
256,907
257,941
258,948
259,913
260,850
261,872
262,896
263,924
264,956
265,956
266,944
267,882
268,884
269,907
270,935
271,960
272,959
273,954
274,935
275,894
276,917
277,946
278,962
279,961
280,958
281,951
282,920
283,926
284,954
285,962
286,961
287,960
288,957
289,949
290,935
291,960
292,962
293,961
294,960
295,960
296,958
297,954
298,960
299,960
300,960
301,960
302,959
303,959
304,959
305,959
306,959
307,959
308,959
309,959
310,959
311,960
312,960
313,958
314,959
315,959
316,959
317,959
318,959
319,955
320,958
321,959
322,959
323,959
324,959
325,960
326,958
327,958
328,958
329,959
330,960
331,960
332,956
333,958
334,958
335,958
336,959
337,960
338,960
339,958
340,958
341,959
342,959
343,963
344,961
345,956
346,959
347,959
348,959
349,959
350,964
351,960
352,960
353,960
354,960
355,960
356,959
357,959
358,960
359,960
