h,result
0,971
1,971
2,970
3,970
4,970
5,970
6,970
7,969
8,969
9,969
10,969
11,969
12,968
13,968
14,974
15,970
16,969
17,964
18,967
19,967
20,967
21,967
22,967
23,967
24,967
25,973
26,969
27,968
28,968
29,968
30,968
31,962
32,966
33,966
34,966
35,966
36,971
37,967
38,967
39,967
40,966
41,966
42,966
43,966
44,966
45,964
46,964
47,967
48,966
49,966
50,965
51,965
52,965
53,965
54,965
55,964
56,964
57,964
58,963
59,964
60,964
61,963
62,957
63,964
64,964
65,963
66,962
67,954
68,952
69,963
70,963
71,962
72,958
73,932
74,943
75,963
76,962
77,960
78,951
79,909
80,931
81,960
82,962
83,957
84,939
85,895
86,923
87,956
88,960
89,953
90,910
91,883
92,910
93,942
94,958
95,945
96,848
97,867
98,897
99,928
100,955
101,937
102,823
103,838
104,858
105,883
106,911
107,939
108,894
109,787
110,801
111,819
112,838
113,861
114,887
115,701
116,697
117,681
118,654
119,580
120,290
121,306
122,312
123,304
124,316
125,361
126,356
127,350
128,348
129,340
130,337
131,331
132,366
133,414
134,400
135,378
136,369
137,363
138,366
139,374
140,432
141,455
142,445
143,415
144,402
145,395
146,384
147,429
148,449
149,472
150,472
151,432
152,409
153,398
154,427
155,455
156,470
157,482
158,487
159,457
160,438
161,427
162,474
163,479
164,490
165,496
166,498
167,486
168,454
169,478
170,490
171,492
172,494
173,502
174,499
175,508
176,490
177,511
178,510
179,510
180,514
181,514
182,508
183,512
184,511
185,507
186,500
187,498
188,494
189,497
190,485
191,487
192,487
193,490
194,489
195,486
196,480
197,472
198,474
199,475
200,475
201,473
202,473
203,469
204,464
205,464
206,466
207,466
208,467
209,462
210,458
211,452
212,451
213,448
214,453
215,458
216,448
217,446
218,442
219,440
220,441
221,446
222,444
223,437
224,433
225,433
226,431
227,429
228,434
229,430
230,427
231,426
232,421
233,419
234,419
235,418
236,417
237,414
238,416
239,416
240,413
241,588
242,667
243,725
244,772
245,820
246,862
247,909
248,831
249,798
250,823
251,853
252,880
253,915
254,945
255,923
256,833
257,856
258,879
259,906
260,935
261,959
262,949
263,904
264,871
265,895
266,920
267,950
268,962
269,957
270,942
271,887
272,905
273,930
274,960
275,964
276,961
277,955
278,931
279,914
280,939
281,964
282,964
283,963
284,960
285,952
286,927
287,948
288,964
289,964
290,963
291,962
292,960
293,953
294,954
295,963
296,963
297,963
298,963
299,962
300,963
301,963
302,962
303,962
304,960
305,962
306,962
307,962
308,962
309,962
310,963
311,961
312,962
313,962
314,962
315,962
316,962
317,960
318,960
319,961
320,962
321,962
322,962
323,960
324,960
325,960
326,965
327,962
328,963
329,962
330,961
331,961
332,961
333,965
334,962
335,963
336,960
337,961
338,961
339,962
340,961
341,963
342,963
343,961
344,961
345,961
346,961
347,961
348,963
349,959
350,962
351,962
352,962
353,962
354,962
355,964
356,962
357,962
358,962
359,962
