h,result
0,965
1,964
2,964
3,964
4,963
5,963
6,963
7,963
8,963
9,963
10,963
11,963
12,963
13,963
14,968
15,964
16,963
17,960
18,961
19,962
20,961
21,962
22,961
23,961
24,962
25,967
26,963
27,963
28,962
29,962
30,962
31,957
32,960
33,960
34,960
35,960
36,965
37,962
38,962
39,961
40,961
41,961
42,961
43,960
44,960
45,958
46,959
47,959
48,960
49,960
50,960
51,960
52,960
53,959
54,959
55,959
56,959
57,959
58,955
59,960
60,960
61,957
62,959
63,960
64,959
65,959
66,956
67,941
68,953
69,959
70,958
71,956
72,949
73,919
74,950
75,959
76,958
77,954
78,939
79,907
80,937
81,959
82,957
83,951
84,917
85,899
86,929
87,958
88,955
89,944
90,867
91,886
92,915
93,949
94,953
95,932
96,848
97,874
98,902
99,936
100,948
101,918
102,823
103,843
104,864
105,890
106,919
107,935
108,823
109,792
110,807
111,827
112,845
113,869
114,901
115,705
116,704
117,688
118,664
119,596
120,341
121,359
122,361
123,360
124,384
125,515
126,509
127,504
128,510
129,488
130,484
131,509
132,529
133,560
134,544
135,515
136,514
137,547
138,463
139,468
140,506
141,526
142,515
143,497
144,491
145,489
146,486
147,529
148,546
149,555
150,540
151,525
152,516
153,518
154,558
155,566
156,564
157,607
158,590
159,587
160,577
161,590
162,605
163,610
164,616
165,610
166,582
167,572
168,587
169,609
170,559
171,556
172,548
173,551
174,558
175,519
176,550
177,559
178,558
179,558
180,567
181,563
182,563
183,559
184,564
185,564
186,563
187,568
188,567
189,560
190,551
191,555
192,541
193,549
194,551
195,553
196,542
197,530
198,540
199,541
200,542
201,544
202,537
203,524
204,491
205,496
206,501
207,506
208,506
209,499
210,488
211,478
212,481
213,490
214,494
215,497
216,483
217,474
218,468
219,462
220,474
221,481
222,473
223,466
224,457
225,453
226,448
227,454
228,465
229,451
230,444
231,438
232,430
233,431
234,422
235,435
236,425
237,423
238,418
239,414
240,410
241,585
242,667
243,725
244,774
245,824
246,868
247,920
248,774
249,799
250,827
251,857
252,887
253,922
254,944
255,897
256,835
257,858
258,883
259,911
260,944
261,954
262,938
263,858
264,876
265,900
266,927
267,958
268,958
269,952
270,925
271,887
272,910
273,937
274,962
275,961
276,958
277,947
278,896
279,918
280,946
281,963
282,962
283,960
284,956
285,943
286,926
287,954
288,962
289,962
290,961
291,959
292,956
293,944
294,955
295,961
296,961
297,960
298,960
299,960
300,960
301,960
302,960
303,960
304,960
305,959
306,960
307,960
308,960
309,960
310,960
311,958
312,959
313,960
314,960
315,960
316,959
317,958
318,958
319,959
320,959
321,960
322,960
323,960
324,958
325,958
326,963
327,960
328,960
329,960
330,959
331,958
332,959
333,959
334,961
335,961
336,960
337,959
338,959
339,959
340,959
341,961
342,961
343,960
344,959
345,959
346,959
347,959
348,962
349,957
350,960
351,960
352,960
353,961
354,960
355,962
356,960
357,960
358,960
359,960
