h,result
0,933
3,932
4,936
5,932
6,928
7,927
8,930
9,930
10,935
11,930
12,930
13,930
14,930
15,930
16,930
17,930
18,935
19,931
20,931
21,931
22,926
23,929
24,929
25,929
26,930
27,929
28,929
29,934
30,930
31,930
32,930
33,930
34,929
35,930
36,924
37,928
38,928
39,928
40,932
41,929
42,929
43,928
44,929
45,928
46,928
47,928
48,928
49,928
50,926
51,927
52,928
53,928
54,927
55,928
56,927
57,924
58,927
59,927
60,926
61,926
62,924
63,917
64,927
65,928
66,926
67,924
68,916
69,904
70,927
71,927
72,925
73,915
74,897
75,890
76,918
77,922
78,917
79,905
80,858
81,877
82,912
83,919
84,912
85,891
86,833
87,863
88,896
89,914
90,902
91,865
92,817
93,845
94,879
95,908
96,891
97,818
98,797
99,825
100,857
101,888
102,879
103,799
104,751
105,768
106,789
107,814
108,844
109,836
110,678
111,689
112,692
113,706
114,716
115,726
116,709
117,526
118,484
119,419
120,259
121,263
122,243
123,261
124,240
125,268
126,268
127,269
128,331
129,299
130,288
131,302
132,293
133,300
134,291
135,332
136,371
137,365
138,372
139,403
140,412
141,398
142,422
143,459
144,473
145,468
146,439
147,434
148,425
149,418
150,464
151,493
152,503
153,473
154,487
155,471
156,443
157,483
158,498
159,539
160,503
161,473
162,443
163,398
164,408
165,432
166,441
167,454
168,459
169,466
170,457
171,435
172,455
173,485
174,488
175,495
176,504
177,510
178,503
179,512
180,509
181,493
182,515
183,520
184,548
185,505
186,515
187,540
188,533
189,543
190,540
191,540
192,498
193,461
194,473
195,473
196,467
197,465
198,463
199,450
200,440
201,436
202,437
203,434
204,437
205,422
206,422
207,406
208,407
209,413
210,411
211,412
212,401
213,395
214,390
215,394
216,396
217,398
218,400
219,389
220,384
221,383
222,378
223,384
224,387
225,379
226,377
227,375
228,372
229,369
230,372
231,372
232,369
233,375
234,365
235,365
236,364
237,366
238,364
239,361
240,359
241,522
242,623
243,590
244,635
245,684
246,724
247,766
248,812
249,833
250,719
251,744
252,774
253,806
254,839
255,877
256,881
257,820
258,787
259,814
260,843
261,875
262,913
263,902
264,875
265,815
266,838
267,865
268,897
269,921
270,914
271,901
272,863
273,855
274,881
275,911
276,926
277,922
278,915
279,900
280,871
281,893
282,924
283,928
284,926
285,924
286,917
287,901
288,903
289,928
290,929
291,928
292,928
293,926
294,922
295,917
296,930
297,930
298,930
299,929
300,929
301,930
302,929
303,929
304,929
305,929
306,928
307,927
308,929
309,929
310,929
311,929
312,929
313,925
314,926
315,928
316,928
317,929
318,930
319,930
320,927
321,927
322,928
323,929
324,929
325,929
326,925
327,926
328,926
329,931
330,929
331,929
332,929
333,927
334,927
335,926
336,927
337,929
338,929
339,928
340,927
341,927
342,927
343,926
344,928
345,928
346,928
347,927
348,927
349,926
350,927
351,929
352,928
353,928
354,927
355,927
356,927
357,927
358,925
359,928
