h,result
0,930
1,929
2,929
3,929
4,929
5,928
6,928
7,928
8,928
9,928
10,927
11,932
12,929
13,928
14,927
15,927
16,927
17,927
18,927
19,927
20,927
21,926
22,931
23,928
24,928
25,927
26,928
27,921
28,925
29,925
30,926
31,926
32,926
33,930
34,927
35,927
36,926
37,926
38,926
39,925
40,925
41,920
42,924
43,924
44,927
45,925
46,925
47,926
48,925
49,925
50,925
51,924
52,924
53,924
54,920
55,923
56,924
57,924
58,923
59,923
60,923
61,923
62,923
63,922
64,920
65,915
66,907
67,922
68,921
69,919
70,915
71,900
72,895
73,921
74,920
75,916
76,908
77,876
78,882
79,915
80,917
81,912
82,896
83,843
84,872
85,905
86,914
87,905
88,876
89,823
90,853
91,887
92,910
93,894
94,837
95,807
96,834
97,867
98,898
99,877
100,757
101,778
102,800
103,824
104,852
105,875
106,817
107,717
108,733
109,749
110,766
111,788
112,811
113,657
114,627
115,626
116,617
117,592
118,552
119,473
120,256
121,247
122,247
123,272
124,279
125,284
126,285
127,286
128,274
129,274
130,314
131,346
132,321
133,308
134,305
135,298
136,300
137,320
138,358
139,372
140,349
141,334
142,320
143,314
144,307
145,363
146,388
147,404
148,380
149,355
150,334
151,320
152,363
153,388
154,403
155,410
156,408
157,380
158,360
159,373
160,400
161,410
162,421
163,422
164,427
165,382
166,365
167,406
168,420
169,423
170,431
171,429
172,438
173,408
174,437
175,440
176,447
177,445
178,449
179,450
180,456
181,449
182,449
183,440
184,452
185,448
186,448
187,450
188,442
189,443
190,436
191,440
192,435
193,433
194,422
195,417
196,429
197,415
198,414
199,413
200,414
201,408
202,405
203,402
204,407
205,406
206,404
207,406
208,398
209,393
210,390
211,390
212,391
213,395
214,391
215,386
216,383
217,381
218,384
219,383
220,383
221,379
222,377
223,374
224,373
225,372
226,382
227,375
228,372
229,369
230,367
231,367
232,362
233,366
234,361
235,362
236,361
237,361
238,359
239,358
240,357
241,485
242,570
243,642
244,703
245,775
246,661
247,688
248,720
249,756
250,792
251,830
252,875
253,829
254,755
255,781
256,810
257,841
258,875
259,901
260,879
261,803
262,811
263,837
264,868
265,900
266,913
267,901
268,874
269,830
270,856
271,885
272,918
273,921
274,913
275,901
276,861
277,870
278,897
279,921
280,924
281,921
282,915
283,900
284,880
285,909
286,927
287,926
288,925
289,918
290,916
291,903
292,918
293,928
294,927
295,927
296,926
297,925
298,924
299,927
300,927
301,927
302,926
303,927
304,927
305,926
306,927
307,927
308,927
309,925
310,926
311,927
312,926
313,926
314,927
315,922
316,924
317,925
318,926
319,927
320,927
321,927
322,925
323,924
324,927
325,926
326,927
327,927
328,926
329,925
330,924
331,927
332,926
333,927
334,926
335,926
336,925
337,925
338,925
339,927
340,927
341,926
342,925
343,925
344,924
345,924
346,926
347,923
348,926
349,925
350,925
351,925
352,925
353,927
354,926
355,926
356,926
357,924
358,925
359,925
