h,result
0,930
1,930
2,930
3,934
4,928
5,926
6,925
7,928
8,929
9,928
10,928
11,928
12,928
13,928
14,928
15,928
16,927
17,927
18,929
19,929
20,928
21,928
22,927
23,926
24,927
25,927
26,927
27,927
28,927
29,928
30,927
31,927
32,928
33,928
34,928
35,923
36,925
37,926
38,926
39,926
40,930
41,927
42,927
43,927
44,926
45,926
46,926
47,927
48,926
49,921
50,924
51,929
52,925
53,925
54,925
55,924
56,924
57,924
58,924
59,925
60,924
61,923
62,921
63,921
64,924
65,923
66,922
67,921
68,913
69,909
70,925
71,924
72,923
73,916
74,895
75,897
76,926
77,924
78,920
79,908
80,862
81,887
82,919
83,922
84,913
85,894
86,840
87,874
88,905
89,918
90,906
91,865
92,836
93,854
94,885
95,912
96,892
97,810
98,809
99,835
100,865
101,896
102,880
103,790
104,769
105,787
106,805
107,831
108,857
109,823
110,682
111,695
112,706
113,711
114,722
115,736
116,652
117,552
118,564
119,522
120,408
121,464
122,464
123,432
124,412
125,417
126,445
127,452
128,489
129,450
130,471
131,483
132,429
133,444
134,438
135,461
136,482
137,437
138,416
139,366
140,370
141,342
142,381
143,391
144,416
145,392
146,377
147,418
148,381
149,430
150,452
151,472
152,471
153,394
154,346
155,331
156,349
157,379
158,393
159,401
160,408
161,395
162,364
163,345
164,388
165,404
166,414
167,419
168,424
169,420
170,391
171,406
172,421
173,430
174,431
175,435
176,438
177,436
178,429
179,437
180,440
181,436
182,438
183,442
184,435
185,433
186,434
187,434
188,430
189,430
190,430
191,424
192,416
193,420
194,422
195,421
196,421
197,428
198,418
199,412
200,412
201,416
202,414
203,411
204,414
205,407
206,403
207,401
208,404
209,406
210,401
211,399
212,393
213,387
214,385
215,391
216,393
217,394
218,386
219,383
220,380
221,376
222,379
223,384
224,380
225,377
226,374
227,370
228,369
229,371
230,375
231,372
232,370
233,365
234,366
235,364
236,361
237,364
238,363
239,363
240,364
241,522
242,620
243,588
244,633
245,683
246,723
247,765
248,811
249,832
250,719
251,744
252,772
253,804
254,838
255,878
256,879
257,815
258,788
259,814
260,843
261,875
262,907
263,900
264,873
265,815
266,836
267,864
268,896
269,920
270,913
271,899
272,859
273,854
274,880
275,911
276,924
277,920
278,913
279,897
280,870
281,893
282,925
283,927
284,925
285,922
286,915
287,899
288,901
289,928
290,928
291,927
292,926
293,924
294,920
295,909
296,928
297,928
298,928
299,928
300,928
301,927
302,928
303,927
304,927
305,927
306,926
307,927
308,927
309,927
310,928
311,927
312,928
313,925
314,926
315,927
316,927
317,927
318,927
319,925
320,924
321,925
322,928
323,927
324,928
325,924
326,925
327,924
328,928
329,927
330,927
331,928
332,926
333,926
334,925
335,927
336,927
337,927
338,924
339,925
340,925
341,925
342,925
343,927
344,928
345,926
346,925
347,926
348,925
349,926
350,927
351,924
352,926
353,926
354,926
355,926
356,926
357,923
358,926
359,926
