h,result
0,983
1,983
2,982
3,982
4,982
5,982
6,981
7,982
8,982
9,982
10,982
11,986
12,984
13,984
14,984
15,983
16,983
17,982
18,982
19,982
20,981
21,981
22,986
23,984
24,985
25,985
26,985
27,984
28,984
29,982
30,982
31,981
32,981
33,985
34,984
35,985
36,985
37,985
38,985
39,985
40,985
41,980
42,983
43,981
44,981
45,983
46,984
47,984
48,985
49,985
50,984
51,985
52,984
53,985
54,985
55,980
56,983
57,985
58,985
59,984
60,984
61,984
62,984
63,983
64,980
65,985
66,985
67,985
68,985
69,980
70,976
71,986
72,986
73,986
74,985
75,968
76,971
77,987
78,987
79,985
80,981
81,953
82,966
83,980
84,987
85,986
86,977
87,953
88,963
89,979
90,988
91,986
92,967
93,951
94,960
95,974
96,988
97,984
98,949
99,948
100,955
101,965
102,980
103,984
104,958
105,938
106,942
107,949
108,958
109,971
110,979
111,936
112,934
113,939
114,941
115,947
116,952
117,945
118,921
119,922
120,916
121,914
122,910
123,921
124,916
125,916
126,912
127,918
128,923
129,935
130,920
131,928
132,939
133,921
134,937
135,937
136,937
137,907
138,937
139,928
140,909
141,900
142,895
143,897
144,895
145,927
146,929
147,930
148,920
149,908
150,907
151,909
152,925
153,931
154,940
155,942
156,949
157,942
158,920
159,940
160,928
161,935
162,936
163,954
164,950
165,917
166,944
167,938
168,935
169,941
170,944
171,936
172,936
173,926
174,933
175,938
176,939
177,938
178,939
179,941
180,941
181,938
182,939
183,939
184,938
185,939
186,940
187,934
188,928
189,936
190,936
191,936
192,937
193,936
194,929
195,926
196,930
197,933
198,936
199,933
200,930
201,922
202,918
203,923
204,927
205,930
206,934
207,924
208,916
209,912
210,914
211,922
212,925
213,926
214,919
215,913
216,906
217,903
218,913
219,918
220,918
221,908
222,904
223,900
224,898
225,904
226,912
227,904
228,899
229,896
230,895
231,893
232,895
233,903
234,894
235,891
236,889
237,888
238,887
239,888
240,884
241,910
242,931
243,944
244,915
245,922
246,929
247,938
248,950
249,967
250,979
251,927
252,933
253,940
254,950
255,961
256,979
257,986
258,968
259,939
260,947
261,956
262,968
263,986
264,988
265,983
266,949
267,950
268,960
269,973
270,990
271,989
272,987
273,976
274,954
275,964
276,978
277,989
278,989
279,988
280,984
281,961
282,967
283,983
284,989
285,989
286,988
287,987
288,982
289,971
290,982
291,988
292,988
293,987
294,987
295,986
296,982
297,987
298,987
299,987
300,987
301,987
302,986
303,985
304,986
305,986
306,986
307,986
308,986
309,984
310,985
311,986
312,986
313,986
314,986
315,982
316,981
317,984
318,986
319,986
320,986
321,986
322,982
323,980
324,983
325,985
326,986
327,986
328,982
329,981
330,980
331,979
332,985
333,986
334,986
335,982
336,980
337,980
338,979
339,984
340,986
341,982
342,981
343,980
344,979
345,979
346,980
347,986
348,982
349,980
350,980
351,979
352,979
353,983
354,983
355,981
356,980
357,980
358,979
359,979
