h,result
0,985
1,984
2,985
3,984
4,984
5,989
6,990
7,986
8,982
9,982
10,985
11,985
12,984
13,984
14,984
15,984
16,984
17,984
18,984
19,985
20,986
21,986
22,987
23,982
24,984
25,984
26,984
27,983
28,984
29,983
30,989
31,986
32,986
33,987
34,987
35,987
36,987
37,981
38,984
39,984
40,983
41,988
42,986
43,986
44,987
45,986
46,986
47,986
48,986
49,986
50,984
51,984
52,988
53,985
54,986
55,986
56,986
57,986
58,986
59,986
60,985
61,979
62,986
63,986
64,985
65,985
66,982
67,979
68,986
69,986
70,986
71,985
72,974
73,973
74,987
75,987
76,986
77,983
78,959
79,969
80,986
81,988
82,987
83,981
84,954
85,965
86,984
87,988
88,987
89,974
90,950
91,962
92,978
93,989
94,986
95,952
96,949
97,958
98,972
99,989
100,983
101,943
102,946
103,951
104,955
105,969
106,980
107,973
108,937
109,941
110,944
111,950
112,957
113,970
114,927
115,923
116,918
117,925
118,915
119,909
120,888
121,895
122,895
123,894
124,893
125,892
126,896
127,895
128,916
129,903
130,897
131,894
132,894
133,897
134,895
135,920
136,924
137,916
138,909
139,899
140,901
141,901
142,911
143,926
144,928
145,925
146,906
147,896
148,895
149,897
150,924
151,929
152,929
153,927
154,907
155,899
156,899
157,922
158,926
159,929
160,930
161,928
162,911
163,902
164,920
165,927
166,930
167,931
168,931
169,931
170,920
171,911
172,930
173,930
174,931
175,931
176,933
177,932
178,928
179,931
180,932
181,934
182,931
183,932
184,931
185,927
186,928
187,929
188,930
189,930
190,930
191,928
192,920
193,923
194,926
195,927
196,927
197,927
198,922
199,916
200,917
201,922
202,924
203,925
204,926
205,917
206,912
207,911
208,917
209,922
210,922
211,920
212,912
213,907
214,905
215,910
216,918
217,921
218,911
219,905
220,902
221,899
222,902
223,908
224,908
225,902
226,898
227,896
228,895
229,895
230,904
231,899
232,895
233,892
234,891
235,890
236,888
237,892
238,888
239,887
240,885
241,901
242,912
243,921
244,932
245,946
246,965
247,955
248,926
249,933
250,940
251,950
252,963
253,982
254,980
255,935
256,940
257,948
258,958
259,972
260,988
261,987
262,967
263,945
264,953
265,963
266,978
267,991
268,989
269,983
270,954
271,957
272,968
273,984
274,990
275,990
276,987
277,975
278,960
279,972
280,984
281,990
282,990
283,989
284,985
285,970
286,976
287,990
288,990
289,989
290,989
291,988
292,983
293,980
294,989
295,989
296,988
297,988
298,988
299,987
300,988
301,988
302,987
303,988
304,988
305,988
306,988
307,987
308,987
309,987
310,987
311,987
312,987
313,984
314,986
315,987
316,987
317,987
318,987
319,984
320,982
321,981
322,986
323,987
324,987
325,987
326,984
327,982
328,981
329,983
330,987
331,987
332,984
333,983
334,981
335,981
336,985
337,987
338,988
339,984
340,982
341,981
342,980
343,983
344,987
345,983
346,983
347,982
348,981
349,981
350,981
351,986
352,984
353,982
354,981
355,981
356,981
357,981
358,980
359,981
