h,result
0,984
1,984
2,983
3,983
4,983
5,983
6,983
7,983
8,983
9,983
10,983
11,983
12,983
13,985
14,986
15,981
16,984
17,983
18,983
19,983
20,982
21,982
22,982
23,983
24,984
25,985
26,986
27,986
28,986
29,981
30,984
31,983
32,982
33,982
34,982
35,987
36,985
37,985
38,985
39,985
40,986
41,986
42,986
43,980
44,983
45,982
46,987
47,984
48,985
49,985
50,985
51,985
52,985
53,985
54,985
55,985
56,984
57,987
58,984
59,985
60,985
61,985
62,985
63,984
64,979
65,985
66,985
67,986
68,985
69,978
70,976
71,986
72,985
73,986
74,983
75,963
76,973
77,987
78,988
79,987
80,983
81,956
82,968
83,982
84,988
85,986
86,977
87,955
88,965
89,981
90,988
91,986
92,965
93,952
94,961
95,974
96,988
97,983
98,943
99,948
100,955
101,967
102,983
103,984
104,950
105,934
106,937
107,942
108,953
109,969
110,972
111,916
112,918
113,923
114,927
115,934
116,943
117,932
118,897
119,895
120,884
121,884
122,884
123,884
124,908
125,896
126,893
127,895
128,891
129,889
130,890
131,910
132,922
133,904
134,899
135,896
136,896
137,897
138,917
139,934
140,936
141,931
142,928
143,926
144,920
145,881
146,918
147,925
148,923
149,915
150,899
151,891
152,891
153,911
154,920
155,924
156,930
157,927
158,914
159,917
160,919
161,933
162,938
163,936
164,937
165,934
166,922
167,917
168,934
169,937
170,937
171,939
172,939
173,938
174,927
175,938
176,939
177,940
178,941
179,940
180,941
181,936
182,938
183,938
184,939
185,938
186,939
187,938
188,934
189,931
190,935
191,935
192,937
193,939
194,936
195,929
196,925
197,927
198,928
199,927
200,925
201,922
202,913
203,911
204,915
205,917
206,920
207,920
208,913
209,905
210,903
211,907
212,911
213,913
214,910
215,905
216,901
217,899
218,902
219,907
220,909
221,904
222,901
223,898
224,895
225,895
226,901
227,901
228,898
229,895
230,894
231,891
232,890
233,895
234,894
235,891
236,889
237,887
238,887
239,886
240,885
241,910
242,931
243,947
244,915
245,922
246,930
247,939
248,950
249,967
250,981
251,934
252,933
253,940
254,948
255,961
256,977
257,987
258,974
259,939
260,946
261,955
262,966
263,984
264,989
265,985
266,958
267,949
268,958
269,971
270,984
271,990
272,988
273,981
274,953
275,963
276,976
277,990
278,989
279,989
280,986
281,971
282,966
283,981
284,989
285,989
286,989
287,987
288,984
289,971
290,982
291,989
292,988
293,988
294,988
295,987
296,984
297,988
298,987
299,987
300,987
301,987
302,987
303,988
304,986
305,987
306,987
307,987
308,987
309,983
310,983
311,986
312,986
313,987
314,987
315,987
316,983
317,980
318,985
319,986
320,987
321,987
322,982
323,981
324,980
325,984
326,986
327,987
328,987
329,982
330,981
331,980
332,981
333,986
334,987
335,982
336,981
337,981
338,980
339,984
340,986
341,987
342,982
343,981
344,980
345,980
346,983
347,985
348,984
349,982
350,980
351,980
352,980
353,980
354,981
355,982
356,981
357,980
358,980
359,980
