h,result
0,983
1,983
2,983
3,988
4,979
5,979
6,983
7,983
8,983
9,983
10,983
11,982
12,982
13,982
14,981
15,982
16,981
17,987
18,984
19,985
20,986
21,981
22,984
23,983
24,981
25,982
26,981
27,981
28,983
29,983
30,984
31,984
32,984
33,984
34,985
35,979
36,982
37,981
38,981
39,980
40,982
41,984
42,984
43,984
44,984
45,984
46,985
47,984
48,985
49,979
50,982
51,986
52,983
53,984
54,984
55,984
56,984
57,984
58,984
59,984
60,984
61,984
62,984
63,984
64,984
65,983
66,981
67,976
68,985
69,985
70,983
71,983
72,975
73,969
74,987
75,986
76,986
77,985
78,966
79,968
80,982
81,988
82,989
83,979
84,954
85,966
86,980
87,986
88,984
89,970
90,938
91,952
92,972
93,984
94,982
95,946
96,936
97,948
98,964
99,984
100,979
101,927
102,931
103,939
104,948
105,963
106,977
107,967
108,920
109,925
110,930
111,938
112,948
113,967
114,913
115,908
116,912
117,913
118,913
119,905
120,889
121,908
122,906
123,903
124,908
125,908
126,906
127,924
128,920
129,912
130,911
131,912
132,910
133,910
134,927
135,934
136,924
137,917
138,915
139,913
140,913
141,918
142,934
143,937
144,933
145,922
146,918
147,917
148,920
149,934
150,939
151,940
152,936
153,927
154,922
155,921
156,935
157,941
158,942
159,942
160,943
161,931
162,920
163,931
164,941
165,943
166,944
167,942
168,940
169,937
170,914
171,931
172,932
173,934
174,933
175,937
176,942
177,943
178,944
179,947
180,938
181,940
182,946
183,952
184,941
185,934
186,935
187,940
188,941
189,935
190,935
191,927
192,923
193,931
194,932
195,933
196,932
197,928
198,921
199,920
200,924
201,928
202,930
203,930
204,926
205,916
206,912
207,918
208,922
209,926
210,924
211,916
212,910
213,907
214,906
215,916
216,918
217,917
218,909
219,904
220,902
221,903
222,911
223,912
224,906
225,900
226,898
227,896
228,894
229,903
230,905
231,897
232,893
233,892
234,890
235,889
236,889
237,890
238,888
239,886
240,885
241,900
242,911
243,920
244,931
245,946
246,964
247,956
248,925
249,932
250,939
251,948
252,962
253,981
254,981
255,938
256,939
257,947
258,956
259,970
260,984
261,986
262,970
263,943
264,952
265,962
266,977
267,989
268,988
269,983
270,953
271,955
272,966
273,982
274,990
275,989
276,986
277,977
278,958
279,970
280,982
281,989
282,989
283,988
284,984
285,968
286,974
287,989
288,988
289,988
290,988
291,987
292,983
293,978
294,988
295,987
296,988
297,987
298,987
299,987
300,987
301,987
302,987
303,986
304,987
305,987
306,983
307,986
308,986
309,986
310,986
311,986
312,982
313,981
314,985
315,986
316,986
317,986
318,986
319,982
320,980
321,983
322,986
323,986
324,986
325,982
326,981
327,980
328,984
329,986
330,986
331,987
332,982
333,980
334,980
335,983
336,985
337,986
338,982
339,981
340,980
341,980
342,979
343,985
344,986
345,982
346,981
347,980
348,979
349,979
350,983
351,984
352,981
353,980
354,980
355,980
356,980
357,979
358,980
359,980
