h,result
0,992
1,991
2,991
3,991
4,991
5,991
6,990
7,991
8,991
9,993
10,992
11,991
12,991
13,990
14,990
15,990
16,990
17,990
18,989
19,991
20,991
21,992
22,992
23,993
24,992
25,990
26,990
27,990
28,989
29,989
30,989
31,994
32,991
33,992
34,992
35,992
36,992
37,992
38,987
39,989
40,989
41,988
42,993
43,991
44,991
45,991
46,992
47,992
48,992
49,991
50,991
51,991
52,986
53,991
54,990
55,991
56,991
57,991
58,991
59,991
60,991
61,991
62,991
63,991
64,990
65,987
66,991
67,992
68,991
69,992
70,987
71,977
72,992
73,992
74,992
75,991
76,982
77,972
78,989
79,992
80,992
81,989
82,963
83,968
84,981
85,992
86,991
87,988
88,956
89,964
90,975
91,992
92,991
93,982
94,950
95,960
96,969
97,984
98,989
99,964
100,942
101,948
102,960
103,973
104,984
105,981
106,937
107,940
108,945
109,957
110,966
111,980
112,945
113,924
114,925
115,934
116,936
117,941
118,945
119,914
120,909
121,915
122,911
123,917
124,913
125,919
126,901
127,904
128,932
129,927
130,922
131,921
132,917
133,920
134,909
135,928
136,939
137,932
138,917
139,913
140,908
141,907
142,908
143,932
144,938
145,935
146,908
147,899
148,899
149,899
150,934
151,940
152,943
153,940
154,916
155,905
156,901
157,930
158,934
159,938
160,939
161,940
162,927
163,908
164,907
165,937
166,940
167,940
168,942
169,943
170,941
171,920
172,940
173,944
174,945
175,944
176,943
177,943
178,943
179,942
180,944
181,944
182,943
183,945
184,944
185,941
186,941
187,943
188,943
189,944
190,944
191,942
192,938
193,937
194,938
195,939
196,940
197,940
198,938
199,934
200,935
201,935
202,938
203,938
204,939
205,934
206,929
207,926
208,930
209,934
210,935
211,936
212,930
213,926
214,925
215,927
216,931
217,932
218,931
219,925
220,922
221,920
222,919
223,925
224,928
225,923
226,920
227,918
228,917
229,916
230,920
231,922
232,917
233,915
234,914
235,914
236,913
237,916
238,913
239,912
240,911
241,926
242,936
243,947
244,962
245,961
246,937
247,942
248,948
249,956
250,966
251,981
252,985
253,947
254,949
255,955
256,963
257,974
258,991
259,991
260,973
261,953
262,960
263,968
264,980
265,994
266,993
267,987
268,959
269,963
270,972
271,985
272,994
273,994
274,991
275,977
276,966
277,976
278,990
279,994
280,994
281,993
282,989
283,975
284,979
285,993
286,993
287,993
288,993
289,991
290,985
291,983
292,993
293,992
294,993
295,992
296,992
297,991
298,993
299,992
300,992
301,991
302,991
303,991
304,991
305,992
306,992
307,988
308,990
309,991
310,991
311,991
312,991
313,986
314,986
315,989
316,991
317,991
318,991
319,991
320,986
321,985
322,986
323,991
324,991
325,991
326,987
327,986
328,984
329,988
330,990
331,991
332,991
333,987
334,985
335,984
336,984
337,990
338,991
339,987
340,985
341,985
342,984
343,984
344,988
345,991
346,987
347,985
348,984
349,984
350,984
351,988
352,986
353,985
354,985
355,984
356,984
357,984
358,988
359,984
