h,result
0,985
1,985
2,985
3,987
4,990
5,984
6,982
7,986
8,986
9,986
10,986
11,985
12,985
13,984
14,984
15,984
16,984
17,984
18,989
19,987
20,988
21,988
22,984
23,986
24,985
25,984
26,984
27,984
28,984
29,989
30,987
31,988
32,988
33,988
34,989
35,989
36,983
37,985
38,984
39,984
40,988
41,987
42,987
43,988
44,988
45,987
46,988
47,988
48,988
49,988
50,985
51,989
52,986
53,987
54,987
55,987
56,988
57,987
58,988
59,988
60,988
61,987
62,988
63,988
64,988
65,981
66,989
67,990
68,988
69,990
70,989
71,977
72,985
73,990
74,992
75,992
76,987
77,974
78,986
79,989
80,989
81,991
82,980
83,964
84,976
85,993
86,990
87,990
88,971
89,969
90,978
91,984
92,989
93,984
94,953
95,966
96,964
97,983
98,990
99,977
100,947
101,951
102,958
103,969
104,985
105,984
106,943
107,945
108,951
109,951
110,961
111,975
112,971
113,937
114,933
115,936
116,937
117,941
118,943
119,924
120,917
121,914
122,912
123,915
124,916
125,916
126,922
127,940
128,931
129,924
130,921
131,921
132,921
133,917
134,936
135,948
136,935
137,926
138,924
139,924
140,921
141,924
142,946
143,949
144,948
145,930
146,924
147,924
148,926
149,945
150,949
151,949
152,944
153,932
154,926
155,922
156,941
157,949
158,949
159,951
160,954
161,940
162,930
163,929
164,949
165,952
166,952
167,953
168,953
169,947
170,939
171,946
172,948
173,951
174,952
175,953
176,955
177,949
178,952
179,953
180,954
181,953
182,953
183,953
184,949
185,950
186,950
187,950
188,951
189,950
190,950
191,945
192,943
193,948
194,948
195,948
196,948
197,944
198,938
199,939
200,940
201,943
202,944
203,943
204,939
205,932
206,928
207,932
208,937
209,938
210,940
211,932
212,928
213,926
214,928
215,933
216,935
217,932
218,926
219,924
220,922
221,924
222,928
223,933
224,926
225,922
226,921
227,918
228,917
229,923
230,924
231,920
232,917
233,916
234,914
235,913
236,917
237,915
238,912
239,911
240,911
241,924
242,934
243,945
244,959
245,967
246,936
247,940
248,946
249,954
250,963
251,978
252,985
253,949
254,947
255,953
256,961
257,972
258,987
259,990
260,977
261,951
262,957
263,965
264,976
265,992
266,992
267,987
268,960
269,960
270,969
271,981
272,993
273,992
274,990
275,981
276,963
277,972
278,985
279,993
280,992
281,991
282,988
283,969
284,975
285,985
286,992
287,992
288,991
289,990
290,987
291,978
292,991
293,991
294,991
295,990
296,990
297,990
298,988
299,990
300,990
301,990
302,990
303,990
304,990
305,990
306,988
307,989
308,989
309,990
310,989
311,990
312,986
313,984
314,988
315,989
316,990
317,989
318,989
319,985
320,983
321,983
322,989
323,989
324,990
325,985
326,984
327,982
328,986
329,989
330,990
331,990
332,985
333,983
334,982
335,983
336,988
337,990
338,985
339,984
340,982
341,982
342,981
343,987
344,989
345,985
346,983
347,982
348,982
349,982
350,985
351,985
352,983
353,982
354,982
355,982
356,982
357,979
358,983
359,982
