h,result
0,985
1,985
2,984
3,984
4,984
5,984
6,984
7,984
8,984
9,984
10,983
11,988
12,987
13,986
14,986
15,985
16,984
17,984
18,984
19,984
20,983
21,983
22,988
23,987
24,987
25,988
26,988
27,984
28,986
29,984
30,984
31,983
32,983
33,983
34,985
35,987
36,987
37,987
38,987
39,988
40,988
41,982
42,984
43,984
44,983
45,984
46,986
47,987
48,987
49,987
50,987
51,987
52,987
53,986
54,986
55,981
56,989
57,986
58,986
59,986
60,987
61,987
62,984
63,986
64,987
65,987
66,987
67,985
68,972
69,980
70,987
71,987
72,987
73,983
74,964
75,982
76,988
77,988
78,986
79,978
80,960
81,976
82,988
83,988
84,985
85,959
86,958
87,970
88,988
89,988
90,984
91,947
92,955
93,967
94,986
95,988
96,978
97,947
98,953
99,964
100,980
101,989
102,980
103,944
104,948
105,954
106,961
107,973
108,986
109,950
110,942
111,945
112,949
113,954
114,956
115,973
116,928
117,928
118,929
119,927
120,919
121,919
122,920
123,933
124,926
125,925
126,923
127,923
128,925
129,919
130,938
131,944
132,931
133,928
134,926
135,926
136,926
137,931
138,949
139,946
140,937
141,932
142,930
143,930
144,931
145,949
146,952
147,953
148,944
149,935
150,931
151,930
152,946
153,952
154,953
155,955
156,949
157,938
158,934
159,940
160,950
161,953
162,949
163,955
164,951
165,940
166,938
167,951
168,952
169,955
170,957
171,957
172,960
173,939
174,947
175,952
176,950
177,952
178,952
179,953
180,953
181,952
182,954
183,951
184,953
185,955
186,952
187,948
188,945
189,951
190,955
191,953
192,961
193,962
194,952
195,948
196,956
197,958
198,959
199,960
200,960
201,947
202,941
203,942
204,941
205,944
206,942
207,936
208,930
209,929
210,929
211,938
212,937
213,936
214,930
215,927
216,925
217,927
218,931
219,935
220,932
221,924
222,923
223,921
224,919
225,925
226,928
227,924
228,921
229,919
230,917
231,916
232,919
233,922
234,916
235,914
236,913
237,912
238,912
239,912
240,910
241,937
242,925
243,931
244,936
245,943
246,952
247,963
248,982
249,948
250,942
251,947
252,953
253,962
254,974
255,985
256,982
257,947
258,952
259,959
260,967
261,981
262,992
263,989
264,970
265,955
266,962
267,972
268,986
269,993
270,991
271,985
272,959
273,965
274,975
275,986
276,992
277,992
278,990
279,977
280,968
281,980
282,992
283,992
284,992
285,991
286,987
287,975
288,984
289,991
290,991
291,991
292,991
293,990
294,986
295,987
296,991
297,990
298,990
299,989
300,990
301,990
302,988
303,989
304,989
305,989
306,989
307,989
308,989
309,985
310,988
311,989
312,989
313,989
314,989
315,984
316,982
317,987
318,989
319,989
320,989
321,988
322,983
323,982
324,983
325,989
326,989
327,990
328,986
329,983
330,982
331,986
332,988
333,989
334,985
335,984
336,982
337,982
338,983
339,988
340,989
341,985
342,983
343,982
344,981
345,981
346,987
347,985
348,983
349,982
350,982
351,982
352,982
353,986
354,984
355,982
356,982
357,982
358,981
359,981
