h,result
0,947
1,947
2,947
3,947
4,946
5,951
6,947
7,948
8,944
9,944
10,946
11,946
12,946
13,946
14,946
15,946
16,945
17,946
18,945
19,947
20,947
21,947
22,947
23,943
24,945
25,944
26,944
27,945
28,944
29,944
30,945
31,946
32,946
33,946
34,946
35,947
36,947
37,943
38,945
39,944
40,944
41,948
42,945
43,946
44,946
45,946
46,946
47,946
48,946
49,946
50,944
51,943
52,947
53,945
54,945
55,945
56,945
57,945
58,945
59,945
60,945
61,945
62,944
63,944
64,943
65,936
66,939
67,945
68,944
69,943
70,938
71,921
72,928
73,945
74,942
75,941
76,931
77,895
78,919
79,944
80,942
81,938
82,921
83,882
84,907
85,938
86,941
87,933
88,901
89,871
90,896
91,928
92,938
93,924
94,859
95,859
96,881
97,910
98,934
99,912
100,823
101,838
102,857
103,878
104,904
105,918
106,852
107,797
108,812
109,825
110,843
111,865
112,874
113,715
114,721
115,728
116,722
117,707
118,685
119,627
120,450
121,459
122,457
123,460
124,458
125,462
126,460
127,455
128,510
129,470
130,479
131,479
132,476
133,478
134,476
135,516
136,535
137,506
138,507
139,501
140,498
141,494
142,517
143,543
144,559
145,555
146,530
147,513
148,509
149,500
150,534
151,543
152,561
153,568
154,541
155,504
156,502
157,538
158,538
159,546
160,563
161,572
162,539
163,509
164,560
165,551
166,580
167,559
168,576
169,595
170,575
171,590
172,607
173,608
174,574
175,613
176,614
177,617
178,608
179,616
180,619
181,618
182,615
183,615
184,607
185,605
186,600
187,604
188,605
189,604
190,566
191,602
192,535
193,535
194,531
195,548
196,537
197,537
198,534
199,518
200,511
201,518
202,519
203,521
204,522
205,510
206,499
207,493
208,502
209,512
210,515
211,519
212,486
213,480
214,474
215,477
216,490
217,496
218,484
219,474
220,468
221,458
222,454
223,474
224,480
225,463
226,456
227,449
228,445
229,440
230,449
231,451
232,442
233,435
234,430
235,428
236,422
237,424
238,418
239,412
240,409
241,558
242,646
243,713
244,773
245,842
246,715
247,743
248,773
249,807
250,840
251,876
252,904
253,841
254,797
255,822
256,849
257,878
258,911
259,927
260,900
261,827
262,847
263,872
264,901
265,933
266,936
267,924
268,885
269,862
270,885
271,915
272,938
273,941
274,935
275,918
276,879
277,900
278,927
279,946
280,944
281,940
282,933
283,914
284,906
285,935
286,946
287,945
288,943
289,941
290,934
291,920
292,942
293,946
294,945
295,945
296,943
297,943
298,941
299,944
300,944
301,944
302,944
303,944
304,944
305,944
306,944
307,946
308,943
309,943
310,944
311,944
312,944
313,942
314,946
315,943
316,944
317,944
318,944
319,940
320,942
321,943
322,944
323,944
324,944
325,944
326,943
327,942
328,942
329,943
330,944
331,944
332,940
333,943
334,942
335,941
336,946
337,945
338,945
339,943
340,943
341,942
342,942
343,946
344,944
345,941
346,943
347,942
348,942
349,943
350,943
351,944
352,943
353,943
354,943
355,943
356,943
357,947
358,943
359,943
