h,result
0,947
1,947
2,946
3,946
4,946
5,945
6,946
7,946
8,945
9,945
10,945
11,945
12,950
13,946
14,944
15,944
16,945
17,945
18,945
19,944
20,944
21,944
22,944
23,949
24,946
25,945
26,945
27,945
28,944
29,943
30,943
31,943
32,943
33,943
34,947
35,945
36,944
37,944
38,943
39,944
40,944
41,944
42,939
43,942
44,943
45,946
46,943
47,943
48,942
49,943
50,942
51,942
52,942
53,942
54,942
55,940
56,943
57,942
58,941
59,941
60,941
61,940
62,938
63,935
64,941
65,941
66,940
67,937
68,927
69,929
70,941
71,941
72,938
73,932
74,901
75,920
76,942
77,940
78,936
79,924
80,879
81,909
82,936
83,939
84,932
85,908
86,868
87,897
88,930
89,936
90,925
91,875
92,859
93,885
94,917
95,932
96,912
97,823
98,841
99,868
100,898
101,922
102,906
103,795
104,806
105,824
106,846
107,870
108,900
109,858
110,753
111,765
112,775
113,788
114,800
115,815
116,716
117,646
118,620
119,568
120,447
121,448
122,451
123,436
124,475
125,463
126,462
127,463
128,461
129,458
130,466
131,501
132,506
133,490
134,467
135,477
136,476
137,478
138,506
139,480
140,508
141,513
142,510
143,504
144,442
145,508
146,472
147,469
148,471
149,436
150,414
151,398
152,388
153,442
154,458
155,468
156,471
157,460
158,427
159,408
160,445
161,468
162,478
163,483
164,491
165,490
166,451
167,452
168,479
169,487
170,495
171,499
172,503
173,507
174,487
175,563
176,573
177,576
178,581
179,585
180,586
181,595
182,553
183,542
184,531
185,542
186,545
187,544
188,536
189,539
190,543
191,541
192,542
193,543
194,541
195,521
196,520
197,537
198,549
199,518
200,545
201,529
202,518
203,471
204,476
205,473
206,474
207,473
208,465
209,453
210,450
211,452
212,454
213,454
214,453
215,448
216,440
217,441
218,437
219,440
220,449
221,438
222,433
223,432
224,425
225,422
226,432
227,432
228,427
229,423
230,421
231,419
232,416
233,423
234,416
235,415
236,414
237,411
238,410
239,408
240,407
241,599
242,616
243,650
244,693
245,738
246,776
247,816
248,859
249,871
250,759
251,785
252,811
253,840
254,872
255,910
256,912
257,849
258,818
259,844
260,869
261,897
262,932
263,929
264,906
265,843
266,861
267,885
268,913
269,937
270,938
271,928
272,896
273,873
274,897
275,926
276,944
277,941
278,937
279,926
280,887
281,907
282,935
283,945
284,944
285,941
286,937
287,922
288,916
289,939
290,945
291,945
292,944
293,943
294,939
295,931
296,944
297,944
298,944
299,944
300,944
301,944
302,944
303,943
304,944
305,943
306,943
307,943
308,943
309,941
310,943
311,943
312,943
313,943
314,943
315,939
316,941
317,943
318,943
319,943
320,943
321,940
322,941
323,941
324,942
325,943
326,943
327,944
328,942
329,941
330,942
331,945
332,944
333,944
334,944
335,942
336,942
337,942
338,943
339,943
340,944
341,943
342,942
343,942
344,942
345,942
346,943
347,941
348,942
349,943
350,942
351,942
352,943
353,944
354,943
355,943
356,942
357,943
358,943
359,943
