h,result
0,950
1,950
2,949
3,949
4,949
5,949
6,949
7,948
8,953
9,949
10,950
11,944
12,947
13,947
14,948
15,947
16,947
17,947
18,947
19,947
20,952
21,948
22,948
23,948
24,948
25,942
26,946
27,946
28,946
29,946
30,946
31,951
32,947
33,947
34,947
35,946
36,946
37,946
38,944
39,944
40,945
41,945
42,947
43,947
44,946
45,946
46,945
47,945
48,945
49,945
50,945
51,945
52,939
53,945
54,945
55,944
56,945
57,944
58,944
59,944
60,944
61,944
62,944
63,943
64,941
65,933
66,937
67,943
68,943
69,940
70,935
71,908
72,932
73,943
74,942
75,938
76,927
77,891
78,920
79,942
80,940
81,933
82,910
83,879
84,909
85,936
86,938
87,927
88,881
89,866
90,896
91,931
92,934
93,916
94,837
95,858
96,882
97,913
98,931
99,902
100,816
101,835
102,855
103,878
104,906
105,911
106,819
107,786
108,802
109,818
110,838
111,862
112,867
113,718
114,723
115,726
116,728
117,715
118,691
119,639
120,462
121,466
122,472
123,481
124,464
125,476
126,476
127,490
128,475
129,527
130,511
131,503
132,502
133,493
134,493
135,471
136,532
137,561
138,548
139,539
140,523
141,494
142,522
143,559
144,581
145,590
146,586
147,556
148,490
149,551
150,554
151,581
152,592
153,597
154,602
155,544
156,566
157,563
158,555
159,595
160,602
161,606
162,606
163,593
164,574
165,553
166,568
167,605
168,595
169,583
170,579
171,577
172,528
173,564
174,566
175,569
176,566
177,569
178,572
179,590
180,568
181,587
182,559
183,569
184,577
185,572
186,569
187,550
188,558
189,535
190,511
191,508
192,510
193,498
194,491
195,510
196,514
197,516
198,517
199,520
200,507
201,508
202,535
203,518
204,524
205,530
206,520
207,509
208,492
209,498
210,508
211,508
212,516
213,480
214,471
215,467
216,464
217,471
218,478
219,469
220,458
221,450
222,446
223,443
224,452
225,460
226,447
227,445
228,437
229,436
230,434
231,432
232,434
233,427
234,424
235,422
236,418
237,412
238,417
239,416
240,408
241,562
242,652
243,720
244,782
245,833
246,719
247,749
248,779
249,813
250,847
251,883
252,902
253,802
254,803
255,829
256,857
257,887
258,921
259,923
260,889
261,831
262,854
263,879
264,909
265,936
266,936
267,919
268,861
269,869
270,894
271,922
272,944
273,941
274,933
275,913
276,881
277,906
278,935
279,947
280,945
281,941
282,932
283,901
284,917
285,941
286,947
287,946
288,944
289,940
290,932
291,925
292,947
293,947
294,946
295,946
296,944
297,943
298,941
299,946
300,946
301,946
302,945
303,945
304,946
305,946
306,946
307,945
308,944
309,945
310,945
311,945
312,946
313,945
314,941
315,944
316,945
317,945
318,945
319,945
320,944
321,944
322,943
323,945
324,945
325,946
326,946
327,944
328,944
329,943
330,947
331,945
332,945
333,944
334,944
335,944
336,944
337,947
338,945
339,946
340,944
341,944
342,944
343,944
344,943
345,946
346,942
347,944
348,944
349,944
350,944
351,944
352,946
353,945
354,945
355,945
356,945
357,944
358,944
359,944
