h,result
0,949
1,948
2,948
3,947
4,947
5,946
6,947
7,947
8,946
9,947
10,946
11,947
12,946
13,946
14,951
15,947
16,948
17,944
18,945
19,946
20,945
21,945
22,945
23,945
24,945
25,949
26,946
27,946
28,946
29,946
30,946
31,944
32,944
33,944
34,944
35,944
36,943
37,945
38,945
39,945
40,944
41,945
42,945
43,944
44,944
45,940
46,942
47,942
48,947
49,944
50,943
51,944
52,944
53,943
54,944
55,943
56,943
57,943
58,940
59,942
60,943
61,942
62,939
63,943
64,943
65,942
66,941
67,937
68,921
69,938
70,942
71,941
72,938
73,929
74,903
75,930
76,942
77,940
78,936
79,919
80,889
81,918
82,943
83,940
84,932
85,896
86,880
87,908
88,936
89,938
90,924
91,855
92,868
93,892
94,925
95,932
96,907
97,829
98,850
99,878
100,907
101,926
102,898
103,800
104,812
105,834
106,854
107,878
108,902
109,818
110,751
111,764
112,776
113,791
114,807
115,826
116,651
117,633
118,605
119,547
120,395
121,390
122,398
123,407
124,441
125,487
126,521
127,483
128,472
129,479
130,481
131,485
132,538
133,564
134,556
135,548
136,509
137,532
138,537
139,539
140,574
141,515
142,533
143,547
144,548
145,542
146,546
147,524
148,555
149,595
150,554
151,573
152,559
153,561
154,578
155,594
156,601
157,605
158,607
159,549
160,489
161,573
162,598
163,605
164,608
165,611
166,609
167,597
168,581
169,603
170,610
171,611
172,615
173,582
174,585
175,574
176,570
177,579
178,584
179,554
180,578
181,609
182,599
183,574
184,569
185,604
186,603
187,604
188,577
189,587
190,577
191,579
192,593
193,586
194,592
195,588
196,577
197,559
198,567
199,574
200,578
201,572
202,581
203,553
204,539
205,544
206,558
207,565
208,568
209,551
210,499
211,490
212,486
213,491
214,539
215,547
216,525
217,509
218,498
219,490
220,505
221,519
222,519
223,495
224,483
225,474
226,468
227,471
228,497
229,476
230,463
231,454
232,448
233,440
234,435
235,455
236,439
237,424
238,422
239,415
240,408
241,613
242,607
243,659
244,704
245,751
246,791
247,834
248,884
249,778
250,772
251,797
252,826
253,858
254,893
255,920
256,883
257,810
258,833
259,859
260,886
261,918
262,934
263,919
264,866
265,852
266,876
267,902
268,933
269,940
270,933
271,913
272,867
273,888
274,915
275,940
276,944
277,940
278,931
279,905
280,898
281,924
282,947
283,946
284,943
285,939
286,930
287,911
288,933
289,946
290,945
291,945
292,944
293,941
294,934
295,940
296,945
297,945
298,945
299,945
300,945
301,945
302,945
303,946
304,940
305,944
306,944
307,944
308,944
309,944
310,945
311,942
312,943
313,944
314,944
315,945
316,944
317,940
318,942
319,946
320,944
321,944
322,945
323,944
324,942
325,942
326,946
327,944
328,945
329,945
330,943
331,944
332,942
333,946
334,944
335,944
336,941
337,943
338,943
339,943
340,943
341,944
342,945
343,944
344,943
345,943
346,943
347,943
348,945
349,941
350,943
351,944
352,943
353,943
354,943
355,941
356,944
357,944
358,944
359,943
