h,result
0,977
1,987
2,987
3,987
4,986
5,986
6,981
7,978
8,978
9,976
10,973
11,976
12,976
13,975
14,975
15,975
16,975
17,975
18,975
19,980
20,978
21,978
22,978
23,976
24,976
25,976
26,975
27,975
28,975
29,975
30,980
31,977
32,978
33,979
34,978
35,979
36,979
37,974
38,977
39,976
40,975
41,980
42,978
43,979
44,980
45,980
46,979
47,977
48,978
49,980
50,980
51,972
52,975
53,977
54,977
55,979
56,981
57,979
58,977
59,979
60,979
61,980
62,979
63,979
64,978
65,976
66,982
67,981
68,981
69,981
70,965
71,978
72,981
73,981
74,980
75,976
76,960
77,970
78,981
79,981
80,981
81,972
82,959
83,970
84,984
85,982
86,981
87,953
88,942
89,957
90,973
91,978
92,972
93,934
94,937
95,950
96,968
97,978
98,967
99,923
100,934
101,944
102,956
103,976
104,970
105,923
106,924
107,928
108,935
109,945
110,961
111,963
112,933
113,938
114,939
115,944
116,935
117,922
118,894
119,887
120,877
121,887
122,883
123,885
124,877
125,880
126,881
127,883
128,919
129,909
130,894
131,889
132,886
133,889
134,887
135,915
136,932
137,922
138,901
139,894
140,892
141,894
142,892
143,930
144,937
145,934
146,913
147,902
148,899
149,923
150,945
151,944
152,945
153,944
154,929
155,926
156,924
157,932
158,956
159,957
160,946
161,944
162,929
163,917
164,923
165,940
166,942
167,941
168,943
169,944
170,938
171,919
172,939
173,944
174,944
175,944
176,945
177,941
178,941
179,949
180,950
181,949
182,949
183,949
184,948
185,937
186,942
187,941
188,942
189,944
190,941
191,937
192,933
193,935
194,936
195,936
196,935
197,936
198,932
199,930
200,927
201,932
202,934
203,935
204,935
205,931
206,927
207,925
208,927
209,930
210,932
211,932
212,928
213,925
214,923
215,925
216,928
217,930
218,926
219,924
220,922
221,920
222,919
223,924
224,928
225,923
226,920
227,918
228,917
229,917
230,919
231,920
232,918
233,916
234,915
235,915
236,914
237,918
238,914
239,913
240,913
241,925
242,935
243,948
244,947
245,934
246,939
247,944
248,950
249,959
250,971
251,976
252,943
253,947
254,952
255,958
256,968
257,982
258,983
259,965
260,951
261,956
262,963
263,974
264,984
265,986
266,979
267,955
268,959
269,967
270,978
271,988
272,987
273,984
274,971
275,962
276,969
277,982
278,987
279,987
280,985
281,981
282,970
283,973
284,980
285,987
286,986
287,986
288,984
289,979
290,976
291,986
292,986
293,986
294,986
295,985
296,984
297,985
298,985
299,985
300,985
301,984
302,985
303,985
304,985
305,984
306,984
307,980
308,982
309,984
310,984
311,984
312,984
313,980
314,977
315,980
316,984
317,984
318,984
319,984
320,978
321,975
322,979
323,983
324,984
325,984
326,980
327,976
328,974
329,978
330,982
331,984
332,984
333,979
334,976
335,974
336,973
337,981
338,984
339,980
340,977
341,975
342,974
343,973
344,977
345,983
346,979
347,976
348,974
349,974
350,973
351,977
352,978
353,976
354,974
355,974
356,973
357,973
358,977
359,974
