h,result
0,978
1,978
2,978
3,977
4,977
5,977
6,977
7,977
8,977
9,977
10,977
11,976
12,976
13,976
14,976
15,982
16,978
17,979
18,976
19,977
20,977
21,976
22,976
23,976
24,976
25,975
26,981
27,978
28,978
29,980
30,980
31,980
32,976
33,978
34,977
35,977
36,979
37,982
38,982
39,985
40,985
41,981
42,983
43,983
44,980
45,979
46,974
47,978
48,975
49,976
50,978
51,983
52,982
53,982
54,982
55,977
56,978
57,977
58,977
59,977
60,976
61,976
62,978
63,979
64,981
65,982
66,982
67,975
68,981
69,977
70,977
71,976
72,973
73,969
74,975
75,980
76,982
77,975
78,959
79,951
80,971
81,978
82,979
83,977
84,955
85,957
86,968
87,980
88,978
89,967
90,927
91,939
92,957
93,976
94,975
95,956
96,923
97,934
98,951
99,975
100,973
101,938
102,912
103,923
104,934
105,948
106,969
107,965
108,903
109,916
110,921
111,927
112,935
113,949
114,938
115,898
116,902
117,902
118,903
119,895
120,920
121,921
122,911
123,907
124,920
125,921
126,939
127,927
128,925
129,924
130,920
131,922
132,924
133,950
134,950
135,938
136,918
137,911
138,909
139,910
140,933
141,943
142,944
143,928
144,924
145,912
146,911
147,926
148,945
149,949
150,947
151,929
152,915
153,913
154,911
155,938
156,943
157,943
158,950
159,947
160,921
161,915
162,937
163,944
164,946
165,950
166,948
167,944
168,924
169,929
170,943
171,946
172,950
173,947
174,946
175,947
176,942
177,947
178,951
179,952
180,950
181,951
182,948
183,943
184,945
185,944
186,946
187,946
188,945
189,942
190,939
191,932
192,941
193,945
194,948
195,948
196,943
197,935
198,931
199,937
200,939
201,939
202,939
203,933
204,929
205,931
206,934
207,935
208,928
209,924
210,924
211,922
212,921
213,924
214,927
215,927
216,925
217,922
218,920
219,919
220,923
221,924
222,920
223,921
224,919
225,918
226,917
227,921
228,920
229,918
230,916
231,915
232,915
233,914
234,914
235,912
236,914
237,914
238,913
239,913
240,913
241,922
242,928
243,934
244,940
245,950
246,961
247,970
248,939
249,943
250,947
251,953
252,962
253,974
254,982
255,957
256,948
257,953
258,959
259,969
260,982
261,986
262,978
263,955
264,957
265,964
266,974
267,982
268,987
269,984
270,971
271,959
272,966
273,977
274,988
275,987
276,986
277,981
278,967
279,968
280,980
281,988
282,987
283,986
284,985
285,979
286,971
287,983
288,987
289,987
290,987
291,986
292,984
293,977
294,980
295,986
296,986
297,986
298,986
299,985
300,985
301,985
302,985
303,985
304,981
305,984
306,985
307,985
308,985
309,985
310,985
311,979
312,981
313,984
314,985
315,985
316,985
317,980
318,977
319,979
320,984
321,984
322,985
323,984
324,978
325,975
326,979
327,983
328,984
329,984
330,981
331,976
332,975
333,975
334,983
335,984
336,984
337,978
338,976
339,974
340,974
341,981
342,984
343,980
344,976
345,975
346,974
347,974
348,980
349,980
350,976
351,975
352,974
353,974
354,974
355,975
356,977
357,974
358,974
359,974
