h,result
0,979
1,987
2,987
3,987
4,986
5,986
8,979
9,984
10,980
11,980
12,974
13,978
14,978
15,978
16,978
17,978
18,977
19,977
20,977
21,980
22,979
23,979
24,980
25,976
26,977
27,978
28,977
29,977
30,977
31,977
32,978
33,979
34,979
35,980
36,979
37,980
38,980
39,974
40,978
41,976
42,976
43,982
44,979
45,978
46,978
47,979
48,979
49,979
50,979
51,984
52,981
53,973
54,982
55,985
56,986
57,981
58,980
59,986
60,981
61,978
62,979
63,977
64,973
65,982
66,987
67,982
68,981
69,980
70,959
71,980
72,980
73,987
74,986
75,982
76,956
77,974
78,982
79,982
80,985
81,975
82,954
83,970
84,981
85,982
86,985
87,963
88,965
89,973
90,976
91,979
92,970
93,930
94,941
95,955
96,977
97,981
98,969
99,937
100,960
101,955
102,973
103,976
104,970
105,951
106,937
107,935
108,934
109,948
110,978
111,966
112,947
113,921
114,950
115,924
116,921
117,932
118,943
119,938
120,933
121,935
122,939
123,898
124,920
125,936
126,936
127,866
128,883
129,921
130,910
131,876
132,892
133,892
134,894
135,894
136,942
137,948
138,944
139,899
140,898
141,932
142,913
143,911
144,951
145,942
146,942
147,936
148,886
149,889
150,888
151,930
152,935
153,939
154,940
155,921
156,910
157,903
158,931
159,937
160,943
161,942
162,944
163,933
164,915
165,924
166,934
167,942
168,948
169,944
170,941
171,936
172,919
173,939
174,941
175,942
176,942
177,941
178,944
179,944
180,937
181,938
182,942
183,940
184,942
185,942
186,940
187,940
188,941
189,942
190,937
191,937
192,936
193,934
194,934
195,938
196,939
197,940
198,939
199,937
200,931
201,933
202,935
203,935
204,935
205,937
206,931
207,928
208,927
209,930
210,930
211,935
212,931
213,928
214,926
215,924
216,925
217,931
218,933
219,926
220,923
221,921
222,920
223,923
224,923
225,921
226,920
227,919
228,919
229,918
230,917
231,921
232,919
233,917
234,916
235,915
236,915
237,915
238,912
239,915
240,914
241,926
242,937
243,950
244,946
245,936
246,940
247,945
248,951
249,960
250,973
251,976
252,943
253,948
254,953
255,959
256,969
257,983
258,984
259,965
260,952
261,957
262,964
263,974
264,988
265,986
266,981
267,959
268,960
269,968
270,978
271,989
272,988
273,985
274,975
275,963
276,971
277,983
278,988
279,988
280,986
281,982
282,971
283,974
284,982
285,988
286,988
287,987
288,985
289,979
290,978
291,987
292,987
293,987
294,987
295,986
296,985
297,987
298,986
299,986
300,986
301,984
302,985
303,986
304,986
305,986
306,986
307,986
308,981
309,984
310,986
311,986
312,986
313,986
314,981
315,978
316,982
317,985
318,985
319,986
320,986
321,980
322,977
323,980
324,984
325,985
326,986
327,981
328,978
329,976
330,979
331,984
332,985
333,986
334,979
335,977
336,975
337,975
338,982
339,985
340,981
341,978
342,976
343,976
344,975
345,980
346,984
347,979
348,977
349,975
350,975
351,975
352,976
353,980
354,976
355,976
356,975
357,975
358,974
359,971
